id,name,description,filters,is_default,sort_order,created_at,updated_at,created_by,columns,show_on_home_page,show_in_generator
fab0b5a2-33b5-49d4-8f8f-fc4e41173e18,HIZ: 50-100 ft - Consider,Plants suitable for 50-100 ft HIZ,"{""flammability"": {""matchMode"": ""all"", ""listChoice"": [""Consider""], ""homeIgnitionZone"": [""50-100""]}}",f,5,2026-01-06T06:37:04.610Z,2026-02-17T01:14:29.912Z,,"[""plantStructure"", ""flammabilityNotes"", ""riskReductionNotes"", ""lightNeed"", ""waterNeed"", ""droughtTolerant"", ""borderScreening"", ""nativeStatus"", ""invasiveQualities"", ""benefits"", ""deerResistance""]",f,t
24b4377c-0a42-4b9e-8a13-ed8a2a5c2193,Low Water Need Plants,Plants with low water requirements,"{""water"": {""waterAmount"": [""Low"", ""Very Low""]}}",f,11,2026-01-06T06:37:04.905Z,2026-02-17T00:21:35.389Z,,"[""plantStructure"", ""flammabilityNotes"", ""riskReductionNotes"", ""lightNeed"", ""waterNeed"", ""droughtTolerant"", ""borderScreening"", ""nativeStatus"", ""invasiveQualities"", ""benefits"", ""deerResistance""]",t,t
d859b032-509b-44f2-8d5c-9aa40e5da49d,HIZ: 10-30 ft - Consider,Plants suitable for 10-30 ft HIZ,"{""flammability"": {""matchMode"": ""all"", ""listChoice"": [""Consider""], ""homeIgnitionZone"": [""10-30""]}}",f,2,2026-01-06T06:37:04.420Z,2026-02-17T00:31:31.861Z,,"[""plantStructure"", ""flammabilityNotes"", ""riskReductionNotes"", ""lightNeed"", ""waterNeed"", ""droughtTolerant"", ""borderScreening"", ""nativeStatus"", ""invasiveQualities"", ""benefits"", ""deerResistance""]",t,t
2309a1b1-b94d-41c9-9391-f2816e0ce8ca,"Native, Deer Resistant, Low Water",Oregon native deer resistant low water plants,"{""water"": {""waterAmount"": [""Low"", ""Very Low""]}, ""wildlife"": {""deerResistance"": [""High (Usually)"", ""Very High""]}, ""nativeness"": {""nativeStatus"": [""Oregon"", ""S. Oregon""]}}",f,10,2026-01-06T06:37:05.337Z,2026-02-03T00:24:21.118Z,,"[""plantStructure"", ""flammabilityNotes"", ""riskReductionNotes"", ""lightNeed"", ""waterNeed"", ""droughtTolerant"", ""borderScreening"", ""nativeStatus"", ""invasiveQualities"", ""benefits"", ""deerResistance""]",t,t
b4ab1322-bd3c-46d3-aad1-9f7f2270a7cf,HIZ: 5-10 ft - Consider,Plants suitable for 5-10 ft HIZ,"{""flammability"": {""matchMode"": ""all"", ""listChoice"": [""Consider""], ""homeIgnitionZone"": [""5-10""]}}",f,0,2026-01-06T06:37:04.322Z,2026-02-17T00:31:21.905Z,,"[""plantStructure"", ""flammabilityNotes"", ""riskReductionNotes"", ""lightNeed"", ""waterNeed"", ""droughtTolerant"", ""borderScreening"", ""nativeStatus"", ""invasiveQualities"", ""benefits"", ""deerResistance""]",t,t
a8e5c68b-2c33-47c0-9a10-279d3f88be5a,Low Hedge - Driveways and Walks,Low hedge plants for driveways and walks,"{""water"": {""newAttribute"": [""Yes""]}, ""growth"": {""heightRange"": {""max"": 4}, ""heightRangeEnabled"": [""enabled""]}, ""utility"": {""borderScreeningUse"": [""Low Hedgerow"", ""Border row""]}, ""flammability"": {""matchMode"": ""all"", ""listChoice"": [""Consider""], ""homeIgnitionZone"": [""10-30""]}}",f,12,2026-01-06T06:37:05.069Z,2026-02-17T01:15:11.536Z,,"[""plantStructure"", ""flammabilityNotes"", ""riskReductionNotes"", ""lightNeed"", ""waterNeed"", ""droughtTolerant"", ""deerResistance"", ""plantHeight"", ""restrictions""]",t,t
45b65529-8db4-4fd5-a95f-56a0d41781c6,"HIZ: 0-5 ft - Charisse's List, Oregon Native",Plants for 0-5 ft zone from Charisses list that are Oregon native,"{""nativeness"": {""nativeStatus"": [""Oregon"", ""S. Oregon""]}, ""flammability"": {""matchMode"": ""all"", ""listChoice"": [""Charisse's list""], ""homeIgnitionZone"": [""0-5""]}}",f,16,2026-01-06T06:37:03.898Z,2026-02-17T01:15:50.121Z,,"[""plantStructure"", ""flammabilityNotes"", ""riskReductionNotes"", ""lightNeed"", ""waterNeed"", ""droughtTolerant"", ""borderScreening"", ""nativeStatus"", ""invasiveQualities"", ""benefits"", ""deerResistance""]",t,t
ac8d1a1e-880f-4a56-a60b-7361effbb90c,Deer Resistant Plants,Plants with high deer resistance,"{""wildlife"": {""deerResistance"": [""High (Usually)"", ""Very High"", ""Some""]}}",f,7,2026-01-06T06:37:04.778Z,2026-02-03T00:24:20.916Z,,"[""plantStructure"", ""flammabilityNotes"", ""riskReductionNotes"", ""lightNeed"", ""waterNeed"", ""droughtTolerant"", ""borderScreening"", ""nativeStatus"", ""invasiveQualities"", ""benefits"", ""deerResistance""]",t,t
9b25dbbd-9802-4dc0-a998-4fd404e9e4c8,HIZ: 30-100 ft - Consider,Plants suitable for 30-100 ft HIZ,"{""flammability"": {""matchMode"": ""all"", ""listChoice"": [""Consider""], ""homeIgnitionZone"": [""30-100""]}}",f,4,2026-01-06T06:37:04.515Z,2026-02-17T01:14:19.428Z,,"[""plantStructure"", ""flammabilityNotes"", ""riskReductionNotes"", ""lightNeed"", ""waterNeed"", ""droughtTolerant"", ""borderScreening"", ""nativeStatus"", ""invasiveQualities"", ""benefits"", ""deerResistance""]",f,t
a45ad820-02f8-411c-817e-8e48205bd917,Ashland Restricted Plants,Plants with spatial restrictions in Ashland,"{""flammability"": {""restrictions"": [""Ashland""]}}",f,8,2026-01-06T06:37:05.254Z,2026-02-03T00:24:20.984Z,,"[""plantStructure"", ""flammabilityNotes"", ""riskReductionNotes"", ""lightNeed"", ""waterNeed"", ""droughtTolerant"", ""borderScreening"", ""nativeStatus"", ""invasiveQualities"", ""benefits"", ""deerResistance"", ""hiz""]",t,t
