id,genus,species,subspecies_varieties,common_name,notes,last_updated,urls
68fa2b1d-9c12-4567-8ddb-6a18e3c2dc97,Abies,spp.,,Firs,,2025-05-17T01:46:30.677Z,
10827294-0bed-4407-a12f-74e503ebee36,Crataegus,douglasii,,Douglas/black hawthorn,,2025-05-17T01:46:30.678Z,"{""OregonFlora Crataegus douglasii|https://oregonflora.org/taxa/garden.php?taxon=4321"",https://calscape.org/Crataegus-douglasii-(Black-Hawthorn)?srchcr=sc65b5ab86e4e2d}"
4f914cb2-3fd9-43da-ac1b-aea63c69e0c8,Crataegus,spp.,& varieties such as x lavallei,Hawthorn,,2025-05-17T01:46:30.678Z,"{""Crataegus viridis 'Winter King' — Fire Performance Plant Selector (sref.info)|https://fire.sref.info/plants/crataegus-viridis-winter-king""}"
731c5977-7de3-4797-b2a2-92aeb96a3309,Abutilon,theophrasti,,Velvetleaf,,2025-05-17T01:46:30.677Z,
44fbb859-ddad-4431-8719-869e1fba6153,Cupressus (syn Hesperocyparis),bakeri,,"Baker cypress, Siskiyou cypress",,2025-05-17T01:46:30.678Z,{https://landscapeplants.oregonstate.edu/plants/cupressus-bakeri}
69923d0f-ae24-44ab-8c03-2790223aed8b,Acacia,baileyana,Purpurea,Fernleaf acacia & purple leaf acacia,,2025-05-17T01:46:30.677Z,
234acd53-0d2c-4909-817b-3ec088c2f967,Cupressus,x Cupressocyparis leylandii,& cultivars,Leyland cypress,,2025-05-17T01:46:30.678Z,{https://en.wikipedia.org/wiki/Leyland_cypress}
de67a4cd-62cd-4bed-9eec-905a62a30784,Cynara,cardunulus,,Artichoke thistle,,2025-05-17T01:46:30.678Z,{https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?taxonid=277562}
d7f608fd-8737-4f2a-8c7a-d5275bf20b44,Cynoglossum (syn Adelinia),grande,,Pacific/Western houndstongue,,2025-05-17T01:46:30.678Z,"{https://calscape.org/Adelinia-grandis-(Western-Houndstongue)?srchcr=sc6591ec23dcd75,https://oregonflora.org/taxa/index.php?taxon=2456&synonym=4435}"
136fefb0-1155-4b40-bca9-a2ae73511c49,Cytisus,multiflorus,,White Spanish broom,,2025-05-17T01:46:30.678Z,{https://en.wikipedia.org/wiki/Cytisus_multiflorus}
2bc5566b-02d6-4e28-b2bf-58bcf20ba605,Dahlia,imperialis,,"Dahlia, Bell or Candelabra (tree)",,2025-05-17T01:46:30.678Z,{https://en.wikipedia.org/wiki/Dahlia_imperialis}
6ec85277-b37a-4ce1-a120-1c838302b22b,Daphne,odora,& cultivars,Winter daphne,,2025-05-17T01:46:30.678Z,"{""Daphne odora — Fire Performance Plant Selector (sref.info)|https://fire.sref.info/plants/daphne-odora""}"
506a8189-8a84-476c-9613-ad11084538d8,Delphinium,glaucum,,Glaucus/Sierra larkspur,,2025-05-17T01:46:30.678Z,"{https://oregonflora.org/taxa/index.php?taxon=4504,https://calscape.org/Delphinium-glaucum-(Glaucus-Larkspur)?srchcr=sc6592072eecc06}"
32381c5e-0ac2-4909-b703-6173e7fee8ea,Delphinium,nudicale,,Red larkspur,,2025-05-17T01:46:30.678Z,"{https://calscape.org/Delphinium-nudicaule-(Red-Larkspur)?srchcr=sc65920a0d35b78,https://oregonflora.org/taxa/index.php?taxon=4509}"
679cb042-619e-47a3-bbdd-9f9606c23a1f,Delphinium,trolliofolium,,Columbian larkspur,,2025-05-17T01:46:30.678Z,"{https://calscape.org/Delphinium-trolliifolium-(Columbian-Larkspur)?srchcr=sc65920c77a4a18,https://oregonflora.org/taxa/garden.php?taxon=4520}"
e9d216a0-9531-43ae-99ba-72a66cbfa046,Dendromecon,rigida,,Bush poppy,,2025-05-17T01:46:30.678Z,{https://calscape.org/loc-California/Dendromecon%20rigida%20(Bush%20Poppy)?newsearch=1}
f7bb1faa-18a1-4ec2-b4e8-c5a973c8f121,Dicentra,formosa,& cultivars,Native Bleeding Heart,,2025-05-17T01:46:30.678Z,"{""OregonFlora Dicentra formosa|https://oregonflora.org/taxa/garden.php?taxon=4546"",https://calscape.org/loc-California/Dicentra%20formosa%20(Bleeding%20Heart)?newsearch=1,https://oregonflora.org/taxa/index.php?taxon=4546}"
eed054ff-44d5-49aa-b035-59289516825a,Dicentra (syn Lamprocapnos),spectabilis,,Common bleeding heart,,2025-05-17T01:46:30.678Z,{https://plants.ces.ncsu.edu/plants/lamprocapnos-spectabilis/}
d9ac64ef-76ce-4993-baf7-3962334ff658,Dimorphotheca,sinuata,,"Annual African Daisy, Cape Marigold",,2025-05-17T01:46:30.678Z,{https://www.gardenia.net/plant/dimorphotheca-sinuata}
40ce0c6a-9608-48a8-99b5-d7b4c0ecad8f,Doronicum,cordatum,'Little leo,"Leopard's bane, dwarf leopard's bane",,2025-05-17T01:46:30.678Z,{https://gardenchronicle.com/how-to-grow-doronicum-leopards-bane/}
8b01f35c-d57a-4a88-ad0a-8171b5e184b5,Echium,plantagineum,,Paterson's curse,,2025-05-17T01:46:30.679Z,"{https://www.oregon.gov/ODA/programs/Weeds/OregonNoxiousWeeds/Pages/AboutOregonWeeds.aspx,https://www.oregon.gov/ODA/programs/Weeds/OregonNoxiousWeeds/Pages/AboutOregonWeeds.aspx#patersons-curse}"
