id,title,description,subsections,links,sort_order,created_at,updated_at,created_by
class202401,Wildfire Resistant Homes and Gardens –January 2024,,"[{""links"": [{""url"": ""https://youtu.be/nzQ15K9iqGw"", ""title"": ""Class 1 Recording"", ""duration"": ""1:42 hrs""}, {""url"": ""https://drive.google.com/file/d/1JDvLpdCSEJYJAUT0685VdCc3UuJYQRho/view"", ""title"": ""Powerpoint Slides (pdf)""}, {""url"": ""https://drive.google.com/file/d/1WWPUTpXh1EUm8LOJC3ZRxlyqHrrUwtAG/view"", ""title"": ""What Are Red Flag Warnings Video"", ""duration"": ""1:46""}, {""url"": ""https://drive.google.com/file/d/17hRV8-hG-NVqJKs7QeadAHQRCknqkwEh/view"", ""title"": ""New York Times Almeda Fire Video"", ""duration"": ""4:11""}, {""url"": ""https://youtu.be/JIv7HNNeek0"", ""title"": ""In the line of fire: Almeda (KTVL 10)"", ""duration"": ""7:02""}], ""title"": ""Class 1: Why Cities Burn""}, {""links"": [{""url"": ""https://youtu.be/KX6F-SpFeD4"", ""title"": ""Class 2 Recording"", ""duration"": ""1:44 hrs""}, {""url"": ""https://drive.google.com/file/d/1uh1KleQBeKtNPR7BNnhlFalxCLgMHZBC/view"", ""title"": ""Powerpoint Slides (pdf)""}, {""url"": ""https://drive.google.com/file/d/1u9H8RhihejH6Smgn3E9kIKRHMGDMJ4Sf/view"", ""title"": ""WFPH Standard 2022 Homeowner Guide""}, {""url"": ""https://drive.google.com/file/d/1A_Mytr2X4swJf37Y_J2-LXohhDx6gcdy/view"", ""title"": ""Home Mitigations that Matter - Executive Summary""}, {""url"": ""https://drive.google.com/file/d/1BFkB92IN7A-5Q8tPl0k4H4SuYi7RFwoQ/view"", ""title"": ""IBHS Wildfire Checklist""}, {""url"": ""https://drive.google.com/file/d/1EICo9bm0FrHjiAjVLxU_bZcqIJp0KtTG/view"", ""title"": ""UCANR Construction Materials Handout""}, {""url"": ""https://drive.google.com/file/d/1Ei2eCJPRYo4sfc1PWuG6ArXekDqP0dfJ/view"", ""title"": ""Building Codes (Oregon)""}], ""title"": ""Class 2: Home Hardening""}, {""links"": [{""url"": ""https://youtu.be/dEdTLQLYwGM"", ""title"": ""Class 3 Recording"", ""duration"": ""1:43 hrs""}, {""url"": ""https://drive.google.com/file/d/1HHdLk-_5khC8byiNUvb7oCClRJ9xJ5Bf/view"", ""title"": ""Powerpoint Slides (pdf)""}, {""url"": ""https://www.ashland.or.us/Page.asp?NavID=18216"", ""title"": ""Fire Adapted Landscaping and Defensible Space Video"", ""duration"": ""~90 min""}, {""url"": ""https://drive.google.com/file/d/1TJZe6JcQa6W3WZs0-NULeeHjWyOARmSU/view"", ""title"": ""Fire Resistant Landscaping Best Practices Handout""}, {""url"": ""https://www.ashland.or.us/Page.asp?NavID=18306"", ""title"": ""Ashland's Prohibited Flammable Plants""}, {""url"": ""https://drive.google.com/file/d/1U2bg8tBkujal4rXK2cTDEoTbx7zqOvqT/view"", ""title"": ""The Combustibility of Landscape Mulches""}, {""url"": ""https://www.laspilitas.com/easy/deerfire.htm"", ""title"": ""Fire and Deer Resistant Native Plants of California""}, {""url"": ""https://drive.google.com/file/d/1ivFzSK9s5fA2AjeJp4oZ8wLkoeu19xfF/view"", ""title"": ""Choosing the Right Plants for Northern Nevada High Fire Hazard Areas""}, {""url"": ""https://drive.google.com/file/d/1bW5q6GDrQAS77XLKQrAErha67W2AqFIM/view"", ""title"": ""Tested Fire-Resistant Mulch for Garden Beds""}, {""url"": ""https://drive.google.com/file/d/1Qa4blmDBJ_1yC-Wi11tOnE2b9Pp5kWQJ/view"", ""title"": ""2021 UC ANR Vegetation and Landscaping Guidance""}, {""url"": ""https://drive.google.com/file/d/1BTzv_rfT9YteH7jvjenDi6wFbAbX5M84/view"", ""title"": ""Firewise Landscaping Brochure""}], ""title"": ""Class 3: Landscaping Best Practices""}, {""links"": [{""url"": ""https://youtu.be/5N9Tdre7Y6M"", ""title"": ""Class 4 Recording"", ""duration"": ""1:38 hrs""}, {""url"": ""https://drive.google.com/file/d/1Si32W55GRXH2XpVW0T9qmYuuTyVkOYnN/view"", ""title"": ""Powerpoint Slides (pdf)""}], ""title"": ""Class 4: Tools and Resources""}]",,3,2026-02-12T16:37:42.126Z,2026-02-18T20:55:58.129Z,
statistics,Fire Statistics,Data and statistics about wildfires,,"[{""url"": ""https://www.nifc.gov/fire-information/statistics"", ""title"": ""National Interagency Fire Center Statistics""}, {""url"": ""https://www.fire.ca.gov/incidents/"", ""title"": ""CAL FIRE Statistics""}, {""url"": ""https://ibhs.org/wildfire/"", ""title"": ""Insurance Institute for Business & Home Safety""}]",5,2026-02-12T16:37:42.618Z,2026-02-18T20:55:58.254Z,
adapted,Fire Adapted Community,,,"[{""url"": ""https://fireadaptednetwork.org/"", ""title"": ""Fire Adapted Communities Learning Network""}, {""url"": ""https://www.nfpa.org/Public-Education/Fire-causes-and-risks/Wildfire/Firewise-USA"", ""title"": ""Firewise USA Recognition Program""}, {""url"": ""https://www.forestsandrangelands.gov/communities/cwpp.shtml"", ""title"": ""Community Wildfire Protection Plans""}]",7,2026-02-12T16:37:43.219Z,2026-02-18T20:55:58.377Z,
smoke,Smoke,,,"[{""url"": ""https://fire.airnow.gov/"", ""title"": ""AirNow Fire and Smoke Map""}, {""url"": ""https://www.epa.gov/smoke-ready-toolbox-wildfires"", ""title"": ""EPA - Wildfire Smoke and Your Health""}, {""url"": ""https://www.cdc.gov/air/wildfire-smoke/default.htm"", ""title"": ""CDC - Protect Yourself From Wildfire Smoke""}, {""url"": ""https://map.purpleair.com/"", ""title"": ""Purple Air - Real-time Air Quality Map""}]",8,2026-02-12T16:37:43.461Z,2026-02-18T20:55:58.439Z,
humanity,Humanity's Relationship with Wildfire,Historical and cultural perspectives on fire,,"[{""url"": ""https://www.amazon.com/Fire-Brief-History-Stephen-Pyne/dp/0295988088"", ""title"": ""Fire: A Brief History by Stephen J. Pyne""}, {""url"": ""https://www.culturalfire.org/"", ""title"": ""Indigenous Fire Management""}, {""url"": ""https://www.nature.org/en-us/what-we-do/our-priorities/tackle-climate-change/climate-change-stories/indigenous-fire-management/"", ""title"": ""The Fire Next Time: Indigenous Knowledge for Wildfire Management""}]",9,2026-02-12T16:37:43.705Z,2026-02-18T20:55:58.500Z,
local,Local Stories,Stories and case studies from communities affected by wildfire,,"[{""url"": ""https://storymaps.arcgis.com/stories/e1e66a7c44c44b9c80c9a8b5d0f54e72"", ""title"": ""Almeda Fire Story Map""}, {""url"": ""https://www.pbs.org/wgbh/frontline/documentary/fire-in-paradise/"", ""title"": ""Camp Fire Documentary""}, {""url"": ""https://www.opb.org/news/series/wildfires/"", ""title"": ""Oregon 2020 Fires""}]",10,2026-02-12T16:37:43.956Z,2026-02-18T20:55:58.562Z,
federal_lands_policy,Federal Lands Policy and the Wildfire Paradox,,,"[{""url"": ""https://www.fs.usda.gov/managing-land/fire"", ""title"": ""Forest Service Fire Management""}, {""url"": ""https://www.blm.gov/programs/public-safety-and-fire/fire-and-aviation"", ""title"": ""Bureau of Land Management Fire Program""}, {""url"": ""https://www.forestsandrangelands.gov/strategy/"", ""title"": ""National Cohesive Wildland Fire Management Strategy""}]",11,2026-02-12T16:37:44.200Z,2026-02-18T20:55:58.623Z,
firefighting,Firefighting,How wildfires are fought and suppressed,,"[{""url"": ""https://inciweb.nwcg.gov/"", ""title"": ""InciWeb - Incident Information System""}, {""url"": ""https://www.nwcg.gov/"", ""title"": ""NWCG - National Wildfire Coordinating Group""}, {""url"": ""https://wffoundation.org/"", ""title"": ""Wildland Firefighter Foundation""}]",12,2026-02-12T16:37:44.453Z,2026-02-18T20:55:58.685Z,
research,Fire Research and Science Links,,,"[{""url"": ""https://www.fs.usda.gov/research/treesearch/topics/fire"", ""title"": ""USFS Fire Research""}, {""url"": ""https://www.firescience.gov/"", ""title"": ""Joint Fire Science Program""}, {""url"": ""https://www.firescience.gov/JFSP_Exchanges.cfm"", ""title"": ""Fire Science Exchange Network""}, {""url"": ""https://www.iawfonline.org/"", ""title"": ""International Association of Wildland Fire""}]",15,2026-02-12T16:37:45.177Z,2026-02-18T20:55:58.868Z,
introduction,Introduction,"WELCOME to Living-with-Fire.org\n\nA portal to information and resource links to help you adapt to life with wildfire\n\nI am a retired federal employee who spent 35 years managing fires and natural and cultural resources in national parks and on public lands. I know that we can't stop the tidal wave of wildfires that are upon us, so I am dedicating my time to trying to help others adapt to life with wildfire.\n\nThe subject matter is diverse and there is a wealth of resources available on the Internet which can be time consuming to locate. I created this website to facilitate exploration and learning that ideally leads to collaborative action. I make no claims to completeness, authorship, ownership, or proprietary interest in the materials provided unless specifically indicated. Most of the information is already available through an Internet search.\n\nThe original website was created to support a course I instructed in 2020 with Mary Kwart, a retired federal fire management specialist. I want to thank Mary for her contributions to the original site and for allowing me to retain some of her materials.\n\nI want to thank Walter Sydoriak for designing, developing, and maintaining the website. I could not have created this tool without him. I also want to thank Annie Lundgren and the White Rabbit Creator Clubhouse for the monumental work done to create this website and rewrite the Plant List Generator for the web.\n\nCharisse Sydoriak, January 9, 2022, February 12, 2026","[{""links"": [{""url"": ""https://fireadaptednetwork.org/wafac-resource-roundup/"", ""title"": ""Climate Resilience, Mentorship, and Community Engagement: A Resource Roundup from WAFAC""}, {""url"": ""https://firesafemarin.org/"", ""title"": ""Fire Safe Marin""}, {""url"": ""https://www.nwcg.gov/glossary/a-z"", ""title"": ""NWCG Glossary""}], ""title"": ""Related Websites""}, {""links"": [{""url"": ""https://vimeo.com/505411007"", ""title"": ""Living with Wildfire"", ""duration"": ""5:19""}, {""url"": ""https://vimeo.com/106449254"", ""title"": ""Wildfires and Us"", ""duration"": ""3:01""}, {""url"": ""https://www.youtube.com/watch?v=O6Vayv9FCLM"", ""title"": ""Why wildfires have gotten worse — and what we can do about it (TED Talk)"", ""duration"": ""14:11""}, {""url"": ""https://www.youtube.com/watch?v=LPC7UQyQQhQ"", ""title"": ""Fire Shapes Everything (TED Talk)"", ""duration"": ""14:13""}], ""title"": ""Introductory Videos""}, {""links"": [{""url"": ""https://wildfirerisk.org/reduce-risk/"", ""title"": ""How to Reduce Risk to Wildfire Communities""}, {""url"": ""https://firesafemarin.org"", ""title"": ""Fire Safe Marin Adapting to Wildfire""}, {""url"": ""https://bouldercolorado.gov/media/3298/download?inline="", ""title"": ""City of Boulder Fire-Rescue Wildland Fire Preparedness Guide""}, {""url"": ""https://the-lookout.org/2023/06/09/understanding-the-true-scale-of-our-wildfire-challenges/"", ""title"": ""Understanding the True Scale of Our Wildfire Challenges""}], ""title"": ""Recommended Reading""}]",,1,2026-02-12T16:37:41.853Z,2026-02-18T20:55:58.003Z,
