id,name,url,address,phone,notes,region,target_location,topics_addressed,attribution,ref_code,file_link
509c7587-abf7-4ca8-821d-0d0758cc51e0,Anaheim Fire & Rescue,https://www.anaheim.net/DocumentCenter/View/26964/Fire-Resistive-Plant-Species,,,Integrated. It appears that the list was derived from other sources in California. OFCA is more useful and recent.,California,Anaheim,Fire resistant plant list w/out placement advice,"Orange County, Recommended Acceptable Fire Resistive Plant Species; 2/6/2018; Anaheim Fire & Rescue, 201 S. Anaheim Blvd., Suite 300, Anaheim, CA 92805",Anaheim,https://drive.google.com/file/d/13FTbWxYR03GyM_pr6FDTDkPlPs6_ttLy/view?usp=sharing
c6484dd7-37b1-4c35-9f69-09cb01381bdf,Annie's Annuals,https://www.anniesannuals.com/,,,,California,Retailer,"Fire, drought, deer resistant plants","Several lists can be accessed via ""Shop by Features""",Annies,
32870c87-a60b-48be-9a02-bd2662a46c41,City of Ashland,https://www.ashland.or.us/SIB/files/FIRE/Firewise/Firewise_Plant_List_2020.pdf,,,Many issues with the list so the list is under review for revisions.,Oregon,Ashland,Firewise & Prohibited Flammable Plant Lists,"Firewise Plants list for Ashland Oregon, City of Ashland, 2018",Ashland,
d5484c84-8eb8-43f5-8b3c-1013f2d94c6a,City of Ashland,https://www.ashlandsaveswater.org/plants.php,,,,Oregon,Ashland,Firewise & Prohibited Flammable Plant Lists,"Firewise Plants list for Ashland Oregon, City of Ashland, 2018",Ashland,
14d9d20e-7552-4223-9041-68fd283d17da,"Australia, Jarrahdale",https://landcaresj.com.au/wp-content/uploads/2017/04/Local-Low-Flammability-Native-Species.pdf,,,,Australia,"Shire of Serpentine Jarrahdale, Perth",Flammability of native species with placement advice,Indicative List of Low Flammability Plants – All local native species – Shire of Serpentine Jarrahdale – May 2010,Aust1,https://drive.google.com/file/d/1e20zlpc62kLS75XwvCYCQ627phAbw5Se/view?usp=drive_link
1d745dba-cc66-4def-b6a5-3494bcd37f9e,"Australia, Victoria",https://apsvic.org.au/fire-resistant-and-retardant-plants/,,,The list is incomplete so it was not used as a source. ,Australia,Southern Australia,"Fire resistant (Plants that will not burn in the face of continued flame) and & fire retardant plants (Plants that will not burn in the first wave of a bushfire, but may burn once dried out)","Australian Plants Society (Victoria); Mr Neil Marriott,  PO Box 107, Stawell Vic 3380",Aust2,
41d6203b-d76d-46f5-813f-00e4c76a2ab8,AC Batista,https://dl-dev.uc.pt/explore?bitstream_id=11055345&handle=10316.2/44603&provider=iiif-image,,,Consulted.,South America,Brazil,Flammability and combustibility of some shrubs,"Batista, AC. Flammability and combustibility of potential species for use as fuel breaks",Batista,
b2e7de17-9605-4a6e-8a61-7af5436e3611,Bee City Talent,,,,Invited to contribute but have not as of the date of this version of the database.,Oregon,Rogue Valley,Pollinators,Talent Oregon Chapter,Bee City USA,
5716c784-887f-4739-a818-56c352a73984,CalFire,https://readyforwildfire.org/prepare-for-wildfire/fire-smart-landscaping/,,,,California,Statewide,"Fire Smart landscaping, plant placement & spacing",CalFire,CalFire,
4ec7c84c-82dd-4911-bb3c-68e1eb1c10ce,California Gardens,http://www.californiagardens.com/Lists/Drought_Tolerant_List.htm,,,,California,Retailer,Drought tolerant plants,"Drought tolerant plants list, California Gardens, Inc",CalGardens,
