id,author,title,year,publisher,description,category,type,from_dataset,have_it,filename,file_location,triage,triage_reason,google_scholar_url,google_search_url,wayback_url,worldcat_url
DIABLO-REF-1,California,Fire Safe: Inside,Date,California,Defines fire retardant,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Yes,pineforestoa.org Fire_Safe.pdf,knowledge-base/,LIKELY_ONLINE,Government/municipal document — try Wayback Machine or agency website,https://scholar.google.com/scholar?q=California+Fire+Safe%3A+Inside,https://www.google.com/search?q=California+Fire+Safe%3A+Inside+filetype%3Apdf,https://web.archive.org/web/*/Fire+Safe%3A+Inside,https://search.worldcat.org/search?q=California+Fire+Safe%3A+Inside
DIABLO-REF-2,"Gaidula, Peter",Wildland Fuel,1976,California,This reference does,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Gaidula+Wildland+Fuel+1976,https://www.google.com/search?q=Gaidula+Wildland+Fuel+1976+filetype%3Apdf,https://web.archive.org/web/*/Wildland+Fuel,https://search.worldcat.org/search?q=Gaidula+Wildland+Fuel+1976
DIABLO-REF-3,"Tarbes, J.A.",Physical,1980,San Francisco State,Defines fire,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Tarbes+Physical+1980,https://www.google.com/search?q=Tarbes+Physical+1980+filetype%3Apdf,https://web.archive.org/web/*/Physical,https://search.worldcat.org/search?q=Tarbes+Physical+1980
DIABLO-REF-4,Sunset,Big Job #1:,1992,Lane Magazine and,Defines highly,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Sunset+Big+Job+%231%3A+1992,https://www.google.com/search?q=Sunset+Big+Job+%231%3A+1992+filetype%3Apdf,https://web.archive.org/web/*/Big+Job+%231%3A,https://search.worldcat.org/search?q=Sunset+Big+Job+%231%3A+1992
DIABLO-REF-5,Sunset,Brush Clearing,1968,Lane Magazine and,Describes fire,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Sunset+Brush+Clearing+1968,https://www.google.com/search?q=Sunset+Brush+Clearing+1968+filetype%3Apdf,https://web.archive.org/web/*/Brush+Clearing,https://search.worldcat.org/search?q=Sunset+Brush+Clearing+1968
DIABLO-REF-6,California,Landscape for,1989,"CSFM Journal, No.",Defines flammable,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=California+Landscape+for+1989,https://www.google.com/search?q=California+Landscape+for+1989+filetype%3Apdf,https://web.archive.org/web/*/Landscape+for,https://search.worldcat.org/search?q=California+Landscape+for+1989
DIABLO-REF-7,City of Los,Green Belts for,Date,"City of Los Angeles,",The term fire,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=City+of+Los+Green+Belts+for,https://www.google.com/search?q=City+of+Los+Green+Belts+for+filetype%3Apdf,https://web.archive.org/web/*/Green+Belts+for,https://search.worldcat.org/search?q=City+of+Los+Green+Belts+for
DIABLO-REF-8,East Bay,Firescape:,1995,Community Services,Defines flammable or,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Yes,EastBayMUD_Fire-Management-Plan.pdf,knowledge-base/,LIKELY_ONLINE,Government/municipal document — try Wayback Machine or agency website,https://scholar.google.com/scholar?q=East+Bay+Firescape%3A+1995,https://www.google.com/search?q=East+Bay+Firescape%3A+1995+filetype%3Apdf,https://web.archive.org/web/*/Firescape%3A,https://search.worldcat.org/search?q=East+Bay+Firescape%3A+1995
DIABLO-REF-9,Brende and,List of More and,Date,Brende and Shapiro,This reference,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Brende+and+List+of+More+and,https://www.google.com/search?q=Brende+and+List+of+More+and+filetype%3Apdf,https://web.archive.org/web/*/List+of+More+and,https://search.worldcat.org/search?q=Brende+and+List+of+More+and
DIABLO-REF-10,"Gilmer,",California,1994,Taylor Publishing,Plants are grouped,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Gilmer+California+1994,https://www.google.com/search?q=Gilmer+California+1994+filetype%3Apdf,https://web.archive.org/web/*/California,https://search.worldcat.org/search?q=Gilmer+California+1994
DIABLO-REF-11,California,Fire-Safe,Date,Santa Clara Ranger,A list of plants is,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=California+Fire-Safe,https://www.google.com/search?q=California+Fire-Safe+filetype%3Apdf,https://web.archive.org/web/*/Fire-Safe,https://search.worldcat.org/search?q=California+Fire-Safe
DIABLO-REF-12,Berkeley,Fire Resistant,1991,Berkeley,Defines fire resistant,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Berkeley+Fire+Resistant+1991,https://www.google.com/search?q=Berkeley+Fire+Resistant+1991+filetype%3Apdf,https://web.archive.org/web/*/Fire+Resistant,https://search.worldcat.org/search?q=Berkeley+Fire+Resistant+1991
DIABLO-REF-13,"Maire, Richard",Landscape to,1962,University of,Fire retardance is not,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Maire+Landscape+to+1962,https://www.google.com/search?q=Maire+Landscape+to+1962+filetype%3Apdf,https://web.archive.org/web/*/Landscape+to,https://search.worldcat.org/search?q=Maire+Landscape+to+1962
DIABLO-REF-14,Northeast,Final Habitat,1990,"Northeast Ridge,",This reference states,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Northeast+Final+Habitat+1990,https://www.google.com/search?q=Northeast+Final+Habitat+1990+filetype%3Apdf,https://web.archive.org/web/*/Final+Habitat,https://search.worldcat.org/search?q=Northeast+Final+Habitat+1990
DIABLO-REF-15,"D'Alcamo,",Appropriate,Date,"East Bay Chapter,",Supplies a list of,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=D%27Alcamo+Appropriate,https://www.google.com/search?q=D%27Alcamo+Appropriate+filetype%3Apdf,https://web.archive.org/web/*/Appropriate,https://search.worldcat.org/search?q=D%27Alcamo+Appropriate
DIABLO-REF-16,Red Shingle &,The Green,1988,Red Cedar Shingle &,This references bases,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Red+Shingle+%26+The+Green+1988,https://www.google.com/search?q=Red+Shingle+%26+The+Green+1988+filetype%3Apdf,https://web.archive.org/web/*/The+Green,https://search.worldcat.org/search?q=Red+Shingle+%26+The+Green+1988
DIABLO-REF-17,Phoenix Team,After the Vision,1996,Phoenix Team of the,This reference,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Yes,NPS_After-The-Vision-Fire-Phoenix-Team-Report_1996.pdf,knowledge-base/,TRY_ONLINE,Unknown type — try Google Scholar and general search first,https://scholar.google.com/scholar?q=Phoenix+Team+After+the+Vision+1996,https://www.google.com/search?q=Phoenix+Team+After+the+Vision+1996+filetype%3Apdf,https://web.archive.org/web/*/After+the+Vision,https://search.worldcat.org/search?q=Phoenix+Team+After+the+Vision+1996
DIABLO-REF-18,"Morris,",Design and,Date,Country Fire,This reference,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Morris+Design+and,https://www.google.com/search?q=Morris+Design+and+filetype%3Apdf,https://web.archive.org/web/*/Design+and,https://search.worldcat.org/search?q=Morris+Design+and
DIABLO-REF-19,Brush Fire,Make it Safe to,Date,Brush Fire Safety,This reference,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Brush+Fire+Make+it+Safe+to,https://www.google.com/search?q=Brush+Fire+Make+it+Safe+to+filetype%3Apdf,https://web.archive.org/web/*/Make+it+Safe+to,https://search.worldcat.org/search?q=Brush+Fire+Make+it+Safe+to
DIABLO-REF-20,"Radtke, Klaus",A Homeowner's,1993,County of Los,Fire retardance was,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Yes,Radtke_Homeowners-Guide-Fire-Watershed-Management_1993.pdf,knowledge-base/,LIKELY_ONLINE,Government/municipal document — try Wayback Machine or agency website,https://scholar.google.com/scholar?q=Radtke+A+Homeowner%27s+1993,https://www.google.com/search?q=Radtke+A+Homeowner%27s+1993+filetype%3Apdf,https://web.archive.org/web/*/A+Homeowner%27s,https://search.worldcat.org/search?q=Radtke+A+Homeowner%27s+1993
DIABLO-REF-21,"Radtke, Klaus",Living More,Date,U.S. Dept. of,Fire retardance was,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Yes,Radtke_Living-More-Safely-Chaparral-Urban-Interface.pdf,knowledge-base/,LIKELY_ONLINE,Government/municipal document — try Wayback Machine or agency website,https://scholar.google.com/scholar?q=Radtke+Living+More,https://www.google.com/search?q=Radtke+Living+More+filetype%3Apdf,https://web.archive.org/web/*/Living+More,https://search.worldcat.org/search?q=Radtke+Living+More
DIABLO-REF-22,"Maire, Richard",Landscape for,1969,University of,Refers to Los Angeles,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Maire+Landscape+for+1969,https://www.google.com/search?q=Maire+Landscape+for+1969+filetype%3Apdf,https://web.archive.org/web/*/Landscape+for,https://search.worldcat.org/search?q=Maire+Landscape+for+1969
DIABLO-REF-23,Grounds,Flirting With Fire,1988,Grounds,Erosion control was,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Grounds+Flirting+With+Fire+1988,https://www.google.com/search?q=Grounds+Flirting+With+Fire+1988+filetype%3Apdf,https://web.archive.org/web/*/Flirting+With+Fire,https://search.worldcat.org/search?q=Grounds+Flirting+With+Fire+1988
DIABLO-REF-24,County of Los,Fire Retardant,1970,County of Los,Bases fire retardance,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Yes,Radtke_Wildland-Plantings-Urban-Forestry-LA-County_1978.pdf,knowledge-base/,LIKELY_ONLINE,Government/municipal document — try Wayback Machine or agency website,https://scholar.google.com/scholar?q=County+of+Los+Fire+Retardant+1970,https://www.google.com/search?q=County+of+Los+Fire+Retardant+1970+filetype%3Apdf,https://web.archive.org/web/*/Fire+Retardant,https://search.worldcat.org/search?q=County+of+Los+Fire+Retardant+1970
DIABLO-REF-25,Santa Barbara,Firescape,Date,Santa Barbara City,This reference offers,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Yes,SantaBarbara_Fire-Wise-Water-Wise-Landscaping.pdf,knowledge-base/,LIKELY_ONLINE,Government/municipal document — try Wayback Machine or agency website,https://scholar.google.com/scholar?q=Santa+Barbara+Firescape,https://www.google.com/search?q=Santa+Barbara+Firescape+filetype%3Apdf,https://web.archive.org/web/*/Firescape,https://search.worldcat.org/search?q=Santa+Barbara+Firescape
DIABLO-REF-26,"Coate, Barrie",Water-,1990,East Bay Municipal,Only offers a list of,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Coate+Water-+1990,https://www.google.com/search?q=Coate+Water-+1990+filetype%3Apdf,https://web.archive.org/web/*/Water-,https://search.worldcat.org/search?q=Coate+Water-+1990
DIABLO-REF-27,"Rice, Carol",Effects of,1991,Wildland Resource,Lists species with the,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=Rice+Effects+of+1991,https://www.google.com/search?q=Rice+Effects+of+1991+filetype%3Apdf,https://web.archive.org/web/*/Effects+of,https://search.worldcat.org/search?q=Rice+Effects+of+1991
DIABLO-REF-28,City of San,Fire Resistive,1996,The City of San,Gives a list of,Fire Resistance - CA Plant Lists,primary_source,DiabloFiresafe (FIRE-07),Contained,UC-ForestProductsLab_Defensible-Space-Landscaping-WUI_1997.pdf,knowledge-base/ (cited within 181-page compilation),CONTAINED_IN_COMPILATION,All 57 references confirmed present in UC Forest Products Lab 1997 compilation.,https://scholar.google.com/scholar?q=City+of+San+Fire+Resistive+1996,https://www.google.com/search?q=City+of+San+Fire+Resistive+1996+filetype%3Apdf,https://web.archive.org/web/*/Fire+Resistive,https://search.worldcat.org/search?q=City+of+San+Fire+Resistive+1996
