genus,common_name,type,lepidoptera_species,bird_value,region
Quercus,Oak,Woody,557,Exceptional,Mid-Atlantic (applicable nationwide for genera)
Prunus,Black Cherry,Woody,456,Exceptional,Mid-Atlantic (applicable nationwide for genera)
Salix,Willow,Woody,455,Exceptional,Mid-Atlantic (applicable nationwide for genera)
Betula,Birch,Woody,413,Exceptional,Mid-Atlantic (applicable nationwide for genera)
Populus,Poplar,Woody,368,Exceptional,Mid-Atlantic (applicable nationwide for genera)
Malus,Crabapple,Woody,311,Exceptional,Mid-Atlantic (applicable nationwide for genera)
Acer,Maple,Woody,297,Exceptional,Mid-Atlantic (applicable nationwide for genera)
Vaccinium,Blueberry,Woody,288,Exceptional,Mid-Atlantic (applicable nationwide for genera)
Alnus,Alder,Woody,255,Exceptional,Mid-Atlantic (applicable nationwide for genera)
Carya,Hickory,Woody,235,Exceptional,Mid-Atlantic (applicable nationwide for genera)
Ulmus,Elm,Woody,215,Exceptional,Mid-Atlantic (applicable nationwide for genera)
Pinus,Pine,Woody,203,Exceptional,Mid-Atlantic (applicable nationwide for genera)
Crataegus,Hawthorn,Woody,168,Very High,Mid-Atlantic (applicable nationwide for genera)
Picea,Spruce,Woody,156,Very High,Mid-Atlantic (applicable nationwide for genera)
Tilia,Basswood,Woody,150,Very High,Mid-Atlantic (applicable nationwide for genera)
Fraxinus,Ash,Woody,150,Very High,Mid-Atlantic (applicable nationwide for genera)
Rosa,Rose,Woody,139,Very High,Mid-Atlantic (applicable nationwide for genera)
Corylus,Filbert,Woody,131,Very High,Mid-Atlantic (applicable nationwide for genera)
Juglans,Walnut,Woody,130,Very High,Mid-Atlantic (applicable nationwide for genera)
Fagus,Beech,Woody,127,Very High,Mid-Atlantic (applicable nationwide for genera)
Castanea,Chestnut,Woody,127,Very High,Mid-Atlantic (applicable nationwide for genera)
Solidago,Goldenrod,Perennial,104,Very High,Mid-Atlantic (applicable nationwide for genera)
Fragaria,Strawberry,Perennial,67,High,Mid-Atlantic (applicable nationwide for genera)
Helianthus,Sunflower,Perennial,56,High,Mid-Atlantic (applicable nationwide for genera)
Eupatorium,Joe Pye / Boneset,Perennial,31,Moderate,Mid-Atlantic (applicable nationwide for genera)
Viola,Violet,Perennial,28,Moderate,Mid-Atlantic (applicable nationwide for genera)
Panicum,Switchgrass,Perennial,25,Moderate,Mid-Atlantic (applicable nationwide for genera)
Geranium,Geranium,Perennial,25,Moderate,Mid-Atlantic (applicable nationwide for genera)
Hibiscus,Rosemallow,Perennial,25,Moderate,Mid-Atlantic (applicable nationwide for genera)
Lupinus,Lupine,Perennial,24,Moderate,Mid-Atlantic (applicable nationwide for genera)
Sium,Water Parsnip,Perennial,21,Moderate,Mid-Atlantic (applicable nationwide for genera)
Erigeron,Fleabane,Perennial,19,Good,Mid-Atlantic (applicable nationwide for genera)
Baptisia,Wild Indigo,Perennial,19,Good,Mid-Atlantic (applicable nationwide for genera)
Vernonia,Ironweed,Perennial,19,Good,Mid-Atlantic (applicable nationwide for genera)
Rudbeckia,Black-eyed Susan,Perennial,18,Good,Mid-Atlantic (applicable nationwide for genera)
Verbesina,Wingstem,Perennial,15,Good,Mid-Atlantic (applicable nationwide for genera)
Oenothera,Evening Primrose,Perennial,15,Good,Mid-Atlantic (applicable nationwide for genera)
Thalictrum,Meadow Rue,Perennial,15,Good,Mid-Atlantic (applicable nationwide for genera)
Andropogon,Bluestem,Perennial,14,Good,Mid-Atlantic (applicable nationwide for genera)
Apocynum,Dogbane,Perennial,14,Good,Mid-Atlantic (applicable nationwide for genera)
Asclepias,Milkweed,Perennial,12,Good,Mid-Atlantic (applicable nationwide for genera)
Aquilegia,Columbine,Perennial,11,Good,Mid-Atlantic (applicable nationwide for genera)
