scientific_name,common_name,deer_browse
Erysimum capitatum,Western wallflower,No Browse
Achillea millefolium,Yarrow,No Browse
Glandularia canadensis,Rose verbena,No Browse
Adiantum pedatum,Maidenhair fern,No Browse
Helenium autumnale,Autumn sneezeweed,No Browse
Agastache nepetoldes,Giant hyssop,No Browse
Hibiscus lasiocarpos,Woolly rose mallow,No Browse
Allium stellatum,Fall glade onion,No Browse
Iris virginica,Blue flag iris,No Browse
Amsonia ciliata,Feathery blue star,No Browse
Juncus effusus,Soft rush,No Browse
Amsonia illustris,Shining blue star,No Browse
Lobelia cardinalis,Cardinal flower,No Browse
Andropogon gerardii,Big bluestem,No Browse
Mimulus ringens,Monkeyflower,No Browse
Asclepias incarnata,Swamp milkweed,No Browse
Monarda bradburiana,Bradbury beebalm,No Browse
Asclepias viridis,Spider milkweed,No Browse
Onoclea sensibilis,Sensitive fern,No Browse
Asclepias tuberosa,Butterfly flower,No Browse
Palafoxia callosa,Palafoxia,No Browse
Callicarpa americana,Beautyberry,No Browse
Panicum virgatum,Switchgrass,No Browse
Carex annectens,Yellow-fruited sedge,No Browse
Penstemon digitalis,Smooth beard-tongue,No Browse
Carex muskingumensis,Palm sedge,No Browse
Physostegia virginiana,Obedient plant,No Browse
Carex stricta,Tussock sedge,No Browse
Polemonium reptans,Jacob's ladder,No Browse
Coreopsis tinctoria,Plains coreopsis,No Browse
Pycnanthemum pilosum,Hairy mtn mint,No Browse
Delphinium exaltatum,Tall larkspur,No Browse
Pycnanthemum tenuifolium,Slender mtn mint,No Browse
Elymus canadensis,Canada wild rye,No Browse
Pycnanthemum virginianum,Mountain mint,No Browse
Eryngium yuccifolium,Rattlesnake master,No Browse
Salvia azurea,Blue salvia,No Browse
Schizachyrium scoprium,Little bluestem,Light Browse
Scutellaria incana,Hoary skullcap,Light Browse
Aquilegia canadensis,Wild columbine,Light Browse
Scutellaria ovata,Heart-leaved skullcap,Light Browse
Aster oblongifolius,Aromatic aster,Light Browse
Sedum ternatum,Wild stonecrop,Light Browse
Aster oolentangiensis,Sky blue aster,Light Browse
Senecio obovatus,Round-leaved ragwort,Light Browse
Aster patens,Purple daisy,Light Browse
Senna marilandica,Wild senna,Light Browse
Blephilia ciliata,Ohio horsemint,Light Browse
Solidago drummondii,Cliff goldenrod,Light Browse
Chelone obliqua,Rosy turtlehead,Light Browse
Sporobolus heterolepis,Prairie dropseed,Light Browse
