scientific_name,common_name,deer_resistant
Abelmoschus manihot,Hibiscus Manihot,True
Abies concolor 'Compacta',Compact White Fir,True
Acanthus 'Summer Beauty',Bear's Breeches,True
Acer Crimson Sunset 'JFS-KW202',Crimson Sunset Maple,True
Acer diabolicum,Devil Maple,True
Acer fabri,Emerald Jade Maple,True
Acer floridanum,Florida Maple,True
Acer palmatum,Japanese Maple,True
Achillea,Yarrow,True
Achillea filipendulina,Fernleaf Yarrow,True
Achillea millefolium,Common Yarrow,True
Achillea tomentosa,Woolly Yarrow,True
Aconitum,Monkshood,True
Aconitum uncinatum,Eastern Monkshood,True
Actaea,Baneberry,True
Actaea pachypoda,Doll's Eyes,True
Actaea podocarpa,Mountain Bugbane,True
Actaea racemosa,Black Cohosh,True
Adiantum,Maidenhair Fern,True
Adiantum capillus-veneris,Southern Maidenhair Fern,True
Adiantum pedatum,Northern Maidenhair Fern,True
Adiantum raddianum,Pacific Maidenhair,True
Adiantum tenerum,Fan Maidenhair,True
Adiantum x mairisii,Hardy Maidenhair Fern,True
Aegopodium podagraria,Ground Elder,True
Aeonium,Tree Houseleek,True
Aesculus californica,California Buckeye,True
Aesculus flava,Yellow Buckeye,True
Aesculus pavia,Red Buckeye,True
Aesculus sylvatica,Painted Buckeye,True
Agapanthus,Lily of the Nile,True
Ageratina,Snakeroot,True
Ageratum houstonianum,Floss Flower,True
Ajuga pyramidalis,Pyramidal Bugle,True
Ajuga reptans,Carpet Bugle,True
Ajuga reptans 'Chocolate Chip',Chocolate Chip Bugleweed,True
Allium ampeloprasum,Wild Leek,True
Allium caeruleum,Blue Globe Onion,True
Allium canadense,Wild Onion,True
Allium cepa,Onion,True
Allium moly,Golden Garlic,True
Allium sativum,Garlic,True
Allium sativum var. ophioscorodon,Hard Neck Garlic,True
Allium sativum var. sativum,Soft Neck Garlic,True
Allium sphaerocephalon,Drumsticks,True
Allium tuberosum,Garlic Chives,True
Alocasia,Elephant's-Ear,True
Alocasia 'Calidora',Calidora Elephant Ear,True
Alocasia sarawakensis 'Yucatan Princess',Yucatan Princess,True
Alocasia x mortfontanensis,African Mask,True
Aloysia virgata,Sweet Almond Bush,True
Alstroemeria,Peruvian Lily,True
Amaryllis belladonna,Belladonna Lily,True
Amelanchier arborea,Downy Serviceberry,True
Amelanchier canadensis,Canadian Serviceberry,True
Amelanchier laevis,Allegheny Serviceberry,True
Amelanchier x lamarckii,Apple Serviceberry,True
Amianthium muscitoxicum,Fly Poison,True
Amorpha fruticosa,Indigo Bush,True
Ampelaster carolinianus,Climbing Aster,True
Amsonia 'Blue Ice',Blue Star,True
Amsonia ciliata,Bluestar,True
Amsonia hubrichtii,Threadleaf Blue Star,True
Aquilegia x hybrida,Hybrid Columbine,True
Arabis caucasica,Caucasian Rockcress,True
Arachniodes simplicior 'Variegata',Variegated Holly Fern,True
Arachniodes standishii,Upside Down Fern,True
Aralia spinosa,Devil's Walkingstick,True
Argemone mexicana,Mexican Prickly Poppy,True
Aristida stricta,Wiregrass,True
Aristolochia fimbriata,Hardy Dutchman's Pipe,True
Aristolochia macrophylla,Dutchman's Pipe,True
