scientific_name,common_name,plant_type,deer_rating,deer_rating_code
Seldom,Severely Damaged,Bulbs,Seldom Severely Damaged,B
Rarely,Damaged Ceratostigma plumbaginoides Plumbago,Bulbs,Rarely Damaged,A
Gaultheria procumbens,Creeping Wintergreen,Bulbs,Rarely Damaged,A
Allium sp.,Ornamental Onion,Bulbs,Rarely Damaged,A
Liriope sp.,Lilyturf,Bulbs,Rarely Damaged,A
Colchicum sp.,Autumn Crocus,Bulbs,Rarely Damaged,A
Vinca major,Large Periwinkle,Bulbs,Rarely Damaged,A
Endymion sp.,Bluebell,Bulbs,Rarely Damaged,A
Vinca minor,Periwinkle,Bulbs,Rarely Damaged,A
Eranthus hyemalis,Winter Aconite,Bulbs,Rarely Damaged,A
Fritilaria imperialis,"Crown Imperial, Fritilia",Bulbs,Rarely Damaged,A
Galanthus nivalis,Snowdrops Occasionally Severely Damaged,Bulbs,Occasionally Severely Damaged,C
Narcissus sp.,Daffodil Euonymus fortunei Wintercreeeper,Bulbs,Occasionally Severely Damaged,C
Scilla siberica,Siberian Squill Hedera helix English Ivy,Bulbs,Occasionally Severely Damaged,C
Seldom,Severely Damaged ORNAMENTAL GRASSES,Ornamental Grasses,Seldom Severely Damaged,B
Camassia leichtlini,Camassia Rarely Damaged,Ornamental Grasses,Rarely Damaged,A
Canna sp.,Canna Lily,Ornamental Grasses,Rarely Damaged,A
Acorus sp.,Japanese Sweet Flag,Ornamental Grasses,Rarely Damaged,A
Colocasia esculenta,Elephant Ear,Ornamental Grasses,Rarely Damaged,A
Andropogon sp.,Big Bluestem,Ornamental Grasses,Rarely Damaged,A
Crocus sp.,Crocus,Ornamental Grasses,Rarely Damaged,A
Arrhenatherum elatius,Varigated Oat Grass,Ornamental Grasses,Rarely Damaged,A
Gladiolus sp.,Gladiolus,Ornamental Grasses,Rarely Damaged,A
Arundo donax,Giant Reed,Ornamental Grasses,Rarely Damaged,A
Gloriosa superba,Glory Lily,Ornamental Grasses,Rarely Damaged,A
Calamagrostis sp.,Feather Reed Grass,Ornamental Grasses,Rarely Damaged,A
Hyacinthus sp.,Hyacinth,Ornamental Grasses,Rarely Damaged,A
Carex sp.,Japanese Sedge,Ornamental Grasses,Rarely Damaged,A
Muscari sp.,Grape Hyacinth,Ornamental Grasses,Rarely Damaged,A
Chasmanthium latifolium,Northern Sea Oats,Ornamental Grasses,Rarely Damaged,A
Oxalis sp.,Wood Sorrel,Ornamental Grasses,Rarely Damaged,A
Cortaderia selloana,Pampus Grass,Ornamental Grasses,Rarely Damaged,A
Zantedeschia sp.,Calla Lily,Ornamental Grasses,Rarely Damaged,A
Eragrostus curvula,Weeping Love Grass,Ornamental Grasses,Rarely Damaged,A
Erianthus ravennae,Ravenna Grass,Ornamental Grasses,Rarely Damaged,A
Occasionally,Severely Damaged Fargesia sp. Clump Bamboo,Ornamental Grasses,Occasionally Severely Damaged,C
Caladium sp.,Caladium Festuca glauca Blue Fescue,Ornamental Grasses,Occasionally Severely Damaged,C
Lilium sp.,Garden Lily Hakonechloa macra Hakonechloa,Ornamental Grasses,Occasionally Severely Damaged,C
Helictotrichon sempervirens,Blue Oat Grass,Ornamental Grasses,Occasionally Severely Damaged,C
Frequently,Severely Damaged Imperata cylindrica Japanese Blood Grass,Ornamental Grasses,Frequently Severely Damaged,D
Juncus,Effusus Hard Rush,Ornamental Grasses,Frequently Severely Damaged,D
Tulip sp.,Tulip,Ornamental Grasses,Frequently Severely Damaged,D
Koeleria glauca,Large Blue June Grass,Ornamental Grasses,Frequently Severely Damaged,D
Lyme,Grass,Ornamental Grasses,Frequently Severely Damaged,D
Miscanthus floridulis,Giant Japanese Silver Grass,Ornamental Grasses,Frequently Severely Damaged,D
