citation,notes
California Fire-Resistant Plant Lists Database Sources,
"Beatty, R. (1991). Designing Gardens for Fire Safety. Berkeley, CA: Department of Landscape Architecture, University of California, Berkeley.","Rates plants fire retardance based on the following: Broad-leafed plants tend to be more fire retardant than those with needle-like or very fine leaves; dense compact forms and low prostrate plants are more effective at retarding fire than more open or upright plants. Berkeley Horticulture Nursery. (1991). Fire Resistant Plants. Berkeley, CA: Berkeley Horticulture Nursery. Defines fire resistant as being able to withstand high temperatures for prolonged periods without igniting and does not readily support open flames. Bowker, M. (1995). High Danger this Year: Preventing the Firestorm. Motorland/CSAA. Considers that fire retardant plants share the following characteristics: grow close to the ground, have a low sap or resin content, grow without accumulating dead matter, are easily maintained and pruned, and are often drought tolerant. Brende and Shapiro. (n.d.). Tree And Shrub Care List of More and Less Fire Prone Plants. Berkeley, CA: Brende and Shapiro Tree and Shrub Care. This reference suggests that any plant can be fire-prone if not properly maintained. Arrangement, spacing, density and dryness of the vegetation is probably more crucial than what species are planted. Brenzel, K.N. (1995). Sunset Western Garden Book. Menlo Park, CA: Sunset Publishing Corporation. This reference was used to gather mature plant characterisitics and information on drought tolerance, climate zones and erosion control. Drought tolerance is defined as requiring little or no dry season water. Climate zones are defined for the western states, each species is listed with a list of zones that it will tolerate. The zone map for this publication was generated from Sunset Western Garden Book's climate zone information. Note is made if a plant is considered to be useful in erosion control, but further explanation is not offered. Brush Fire Safety Committee. (n.d.). Make it Safe to Live in the Hills: Fire Resistant Plants. Los Angeles, CA: Brush Fire Safety Committte. This reference explains that some plants are relatively non-flammable because they are able to withstand high temperatures for prolonged periods without igniting and do not readily support open flames."
"California Department of Forestry. (n.d.). Fire Safe, California! Sacramento, CA: California Department of Forestry and Fire Protection.","Classifies fire retardant plants as those that are hardy succulents and flat ground covering plants that are kept groomed and free of dry leaves. California Department of Forestry. (n.d.). Fire Safe: Inside and Out. California Department of Forestry Publication. Defines fire retardant plants as those easily maintained and pruned, drought tolerant in some cases, can be grown without accumulating dead branches, needles or leaves, have a low sap or resin content, and grow close to the ground. California Department of Forestry and Fire Protection. (n.d.). Fire-Safe Demonstration Garden. Santa Clara Ranger Unit. A list of plants is offered without definition of fire retardance. California State Fire Marshal Journal. (1989). Landscape for Home Fire Safety, CSFM Journal, No. 2. Defines flammable vegetation as plants containing volatile resins, oils, gums and terpenes, and plants that have accumulations of dead twigs and branches on mature live plants. This reference also defines fire retardant plants as those with a high moisture content, high in ash, well irrigated, free of dead matter, and low volume shrubs. California’s I-Zones. (1996). Sacramento, CA: CFESTES Book Store. City of Los Angeles, Department of Arboreta & Botanic Gardens (n.d.). Green Belts for Brush Fire Protection and Soil Erosion Control in Hillside Residential Areas. Arcadia, CA: City of Los Angeles, Dept. of Arboreta & Botanic Gardens. The term fire retardant is used to describe plants inherently less flammable than others. Rates plants as HIGH(greatest fire retardance) low-growing succulent plants with thick, fleshy leaves and/or stems. MODERATE(moderate fire retardance) low-growing herbaceous perennials and sub-shrubs not distinctly succulent. LOW(low fire retardance) low-growing shrubs and sub-shrubs with rather dry, leathery or rigid leaves and branches. City of San Carlos (1996). Fire Resistive Plants. The City of San Carlos, CA. Gives a list of herbaceous perennials, succulents, trees and groundcovers considered to be fire retardant. No definition offered."
"City of Santa Barbara Fire Department. (n.d.). City of Santa Barbara Firescapes Demonstration Garden. Santa Barbara, CA: City of Santa Barbara Fire Department.","Defines fire resistant plants as those plants that can regenerate growth, despite burning and fire retardant plants as those which are less flammable than others. Coate, B. (1990). Water-Conserving Plants and Landscapes for the Bay Area. East Bay Municipal Utility District. Only offers a list of plants considered to be more fire retardant than most plants. No criteria offered. Costello, L.R. and K.A. Jones. (1994). Water Use Classification of Landscape Species: A Guide to the Water Needs of Landscape Plants. Half Moon Bay, CA: University of California Cooperative Extension, San Mateo/San Francisco Counties. Provides recommended watering for over 1200 landscapes plants based on 6 climate regions of California. County of Los Angeles Arboreta & Botanical Gardens. (1970). Fire Retardant Plants for Hillside Areas. Los Angeles, CA: County of Los Angeles Arboreta and Botanical Gardens. Bases fire retardance on relatively high moisture content and prostrate or creeping growth characteristics. Rated as follows: HIGH - succulents (90-95% moisture content). MODERATE - non-succulents(80-95% MC) or 70-80% MC. LOW - 60-75% MC. Crampton, B. (1974). Grasses in California California Natural History Guides. Berkeley Los Angeles London: University of California Press. 33p. Curran, C. W. (1978). Wildfire Hazard Management in the Urban/Wildland Interface in Southern Oregon. Prepared for the Rogue River National Forest, USDA Forest Service. Southern Oregon State College. 55p."
"D'Alcamo, S. and C.L. Rice. (n.d.). Appropriate Landscaping Plants to Reduce Fire Hazard. East Bay Chapter, California Native Plant Society.","Supplies a list of California native plants to be used to establish a more fire retardant environment because of one or more of the following characteristics: high mineral content, low fuel volume, high moisture content. Deering, R.B. (1955). A Study of Drought Resistant Ornamental Plants. Davis, CA: University of California, Davis. Offers plant lists only with no definition of drought or drought tolerance. Department of Water Resources and The Resources Agency. (1979). Bulletin 209- Plants for California Landscapes: A Catalog of Drought Tolerant Plants. State of California, The Resources Agency, Department of Water Resources. Offers a list of recommended plants without explanation or definition. East Bay Municipal Utility District Water Conservation Division. (1995). Firescape: Landscaping to Reduce Fire Hazard. Community Services Department and EBMUD Board of Directors. Defines flammable or hazardous vegetation as any vegetation, including ornamental, that either by it's intrinsic characteristics, placement, or lack of care is easy to ignite, spreads fire rapidly, produces high heat, or creates fires that are difficult to suppress. Defines a fire resistant plant as less likely to burn, grows close to the ground and takes longer to ignite. Edmuson, G.C. (1976). Plant Materials Study: A Search for Drought-Tolerant Plant Materials for Erosion Control, Revegetation and Landscaping along California Highways: Final Report. Davis, CA: U.S Dept. of Agriculture, Soil Conservation Service. Offers plant lists only with no definition of drought or drought tolerance. Ellefson, C.L., T.L. Stephens, and D. Welsh, Ph.D. (1992). Xeriscape Gardening New York, NY: Macmillian Publishing Company. Offers plant lists only with no definition of drought or drought tolerance. Flora & Forest Plants for Firescaping in Western Nevada County. (n.d.). Grass Valley, CA."
"Gaidula, Peter. (1976). Wildland Fuel Management Guidelines for the CA State Park System. California Department of Parks and Recreation.","This reference does not offer a definition of fire retardance with respect to plants, however it offers suggestions of certain plant characteristics to keep in mind when clearing brush to reduce fire hazard: plant vigor, poisonous plants, effects of plants on soils, value for wildlife food and cover, aesthetic values, and relative flammability. Gilmer, Maureen. (1994). California Wildfire Landscaping. Dallas TX: Taylor Publishing Co. Gilmer, Maureen. (1994). California Wildfire Landscaping. Dallas, TX: Taylor Publishing Company. Plants are grouped as the most fire retardant if they retain high levels of moisture in their leaves and stems; these plants are mostly succulents and have low-growth habits. Moderate fire retardance is given to plants that are non- succulent with leaves that retain a high moisture content. Plants with low fire retardance are those with leathery and dry leaves. Greenlee, J. (1982). The Encyclopedia of Ornamental Grasses. Emmaus PA: Rodale Press. Grounds Maintenance. (1988). Flirting With Fire. Erosion control was rated as : LOW - 30% or less. MODERATE - 60%. HIGH - 60% or steeper. Hagen, Bruce W. (n.d.). Trees & Shrubs Generally Recognized To Be Fire Resistant. Santa Rosa, CA: CA Department of Forestry & Fire Protection Coast-Cascade Region. Harlass, Sherry. (1993). How to Firescape to Reduce the Fire Hazard. Defines a fire retardant plant as one that burns slowly."
"Hickman, James C. (1993). The Jepson Manual: Higher Plants of California. Berkeley and Los Angeles, CA: University of California Press.","Provides information on plant classification and mature plant characteristics. International Erosion Control Association. (1977). Proceedings of International Erosion Control Association, 8th Conference. Seattle, WA: The Association. Offers species recommended for erosion control without providing a rating or a definition. Landscape for Fire Protection. (n.d.). Calaveras County University of California Cooperative Extension. Retrieved from www.cecalaveras.ucdavis.edu/land.htm. Landscapring Your Home in a Fire Area. (1993) Las Pilitas. Retrieved from www.laspilitas.com/fire.htm. LeMay, David B and W.G. Mitchell.(1978). Recommended Low-Fuel Volume Species for San Luis Obispo County. San Luis Obispo, CA: Central Coast Fire Prevention Association. Rates species of plants as either having HIGH/MODERATE or LOW fire retardance; no explanation or definition of terms. Lenz, Lee W. and J. Dourley. (1981). California Native Trees And Shrubs. Claremont, CA: Rancho Santa Ana Botanic Garden. Offers plant lists only with no definition of drought or drought tolerance. Los Angeles County Fire Zones regulation approved plant list. (n.d.). Maire, Richard G. (1962). Landscape to Prevent Fire. University of California Agricultural Extension Service. Fire retardance is not defined in this publication. Maire, Richard G. and J.R. Goodin. (1969). Landscape for Fire Protection. University of California Agricultural Extension Service. Refers to Los Angeles Arboretum research. Makes clear the point that the term ""fire resistant"" is used, but that there is not a plant that exists that will not burn given the right conditions. Also suggests that well-maintained and well- watered plants will not burn as readily as those left dry and unmaintained."
"Martin-Richardson, B. (n.d.). San Luis Obispo County Fire Department: A Homeowner's Guide to Fire Resistant Plants for the San Luis Obispo Area. San Luis Obispo, CA: CA Dept. of Forestry & Fire Protection and The San Luis Obispo County Fire Dept.","Lists fire retardant plants for the San Luis Obispo area; no criteria offered. Miller, M. (1994). Fuels In: Fire Effects Guide. National Wildfire Coordinating Group. PMS 481. pp III: 1-27. Moritz, R. (1995). Pyrophytic vs. Fire Resistant Plants. San Rafael Fire Department, FireSafe Marin. Defines fire resistant as: most broad leaf deciduous trees; leaves tend to be supple, moist and easily crushed; trees tend to be clean, not bushy, and have little deadwood; shrubs are low-growing (<2') with minimal dead material; tall shrubs are clean, not bushy; sap is water-like and typically does not have a strong odor; and plants that will not sustain a flame when ignition is attempted. Moritz, R. and S. Pavel. (1996). Pyrophytic vs. Fire Resistant Plants University of California Cooperative Extension HortScript February No. 18. Defines fire resistant as: most broad leaf deciduous trees; leaves tend to be supple, moist and easily crushed; trees tend to be clean, not bushy, and have little deadwood; shrubs are low-growing (<2') with minimal dead material; tall shrubs are clean, not bushy; sap is water-like and typically does not have a strong odor; and plants that will not sustain a flame when ignition is attempted. USDA Natural Resources Conservation Service. (1997). National Range and Pasture Handbook. USDA Natural Resources Conservation Service. p 411. Needham, J. (1996). Tree Notes: Fire Safe Landscaping #17. Ukiah, CA: CA Department of Forestry & Fire Protection CDF Resource Management. Nehrling, Arno and I. Nehrling. (1975). Easy Gardening with Drought-Resistant Plants. New York: Dover Publications, Inc. Defines drought as less than 1"" of rainfall/week or </= 20"" for growing season. Plants considered drought tolerant will survive under these conditions."
"Nevada County UC Cooperative Extension Master Gardeners. (n.d.). Western Nevada County Gardening Guide. Grass Valley. Nord, E. C. and C. M. Countryman. (1972). Fire Relations In: Wildland Shrubs- Their Biology and Utilization. USDA Forest Service General Technical Report INT-1. pp 88-97. Northeast Ridge. (1990). Southwest Diversified Final Habitat Fire Buffer Program. Northeast Ridge, Brisbane, CA: Southwest Diversified, INC.","This reference states that all plants will burn under the worst conditions, but some are more suitable for fire-prone areas because of one or more of the following characteristics: high mineral content, high moisture content, low volume of fuel. Orange County Wildland/Urban Interface Task Force Subcommittee on Fuel Modification. (1994). Report of the Wildland/Urban Interface Task Force: Attachment C. Orange County Fire Department. Defines plants that are not suitable for fire prone areas as possessing some or all of the following characteristics: are known to be especially combustible; have dry or deciduous foliage during part of the year; develop deciduous or shaggy bark; develop dry or dead undergrowth. Orinda Fire Protection District (n.d.). Protect Your Home: Landsape For Fire Protection. Orinda, CA: Orinda Fire Protection District. Offers a few fire retardant landscape plants with no criteria for classifying them as such. Pavlik, B., P. Muick, et al. (1991). Oaks of California. Los Olivos, CA: Chronicle Books. Perry, Bob. (1992). Landscape Plants for Western Regions: An Illustrated Guide to Plants for Water Conservation. Claremont, CA : Land Design Publishing. Categorizes landscape plants based on the water needs. Also provides information on the mature characteristics of plants. Perry, Bob. (1989). Trees and Shrubs for Dry California Landscapes. Claremont, CA: Land Design Publishing. Fire retardance was rated as follows: LOW - high fire hazard species and undesirable domestic plant. MODERATE - acceptable domestic plant that requires ample amounts of water for best performance and valuable watershed species that should be thinned to reduce foliage mass, and be retained in limited numbers to prevent high intensity fires. HIGH - low-growing and high fire retarding plants and low fuel volume native and introduced species."
Phoenix Team of the Environmental Action Committee of West Marin. (1996). After the Vision Fire.,"This reference provides a list of suggested fire retardant plants; fire retardant is not defined. The California Chaparral Institute. (n.d.). Protecting Your Home from Fire. The California Chaparral Institute. Retrieved from www.californiachaparral.com/bprotectingyourhome.html. University of California Cooperative Extension. (1996). Pyrophytic v. Fire Resistant Plants. HortScript No 18. University of California Cooperative Extension. 1996. 9p. Radtke, Klaus W.H. (1993). A Homeowner's Guide to Fire and Watershed Management at the Chaparral/Urban Interface. Los Angeles, CA: County of Los Angeles, CA. Fire retardance was rated as follows: HIGH - very highly fire retardant. MODERATE - medium fire retardance. LOW - low very retardance. Radtke, Klaus W.H. (n.d.). Living More Safely in the Chaparral/Urban Interface U.S. Dept. of Agriculture, Pacific Southwest Forest and Range Experimant Station, Gen.Technical Report PSW-67. Red Shingle & Handsplit Shake Bureau. (1988). The Green Fireman Plan levue, WA: Red Cedar Shingle & Handsplit Shake Bureau. This references bases its recommendations of fire retardance on the following: plants with a high moisture content, low volume shrubs, and (up to a point) plants with a high ash content. Resource Management International, Inc. (1988). Windbreaks Demonstration Project: Final Report. Sacramento, CA: The Office of Land Conservation, California Department of Conservation. Offers plant lists only with no definition of drought or drought tolerance. Rice, Carol. (1991). Effects of Drought on Landscaping in the Paint Fire. Walnut Creek, CA: Wildland Resource Management. Lists species with the highest moisture content and therefore probably the most fire retardant. Also lists the driest plants -- these were classified as not being recommended for fire prone areas. Santa Barbara City Fire Department. (n.d.). Firescape Demonstration Garden. Santa Barbara, CA: Santa Barbara City Fire Department. This reference offers only a list of suggested fire retardant plants, no criteria are given."
"Schmidt, M.G. (1980). Growing California Native Plants California Natural History Guide. Berkeley, Los Angeles, London: University of California Press. 45p. Smith, E. and G. Adams. (1991). Incline Village/Crystal Bay Defensible Space Handbook. Reno, NV: University of Nevada Cooperative Extension. Special Publication SP-91-06. 57p. Smith, E. and S. Sistare. (2005). A Compilation of Good Plant Choices for Nevada's High Fire Hazard Areas. Reno, NV: University of Nevada Cooperative Extension. Special Publication SP-05-16. 6p. South County Fire. (n.d.). Protecting Your Home From a Brush Fire. South County Fire.","Offers only a list of plants, without explanation or definition. Southern California Chaparral Field Institute. (n.d.). Sunset. (1992). Big Job #1: Landscape to Fight the Fire. Lane Magazine and Book Company. Defines highly flammable plants as those that are accumulators of fuel, not maintained or pruned periodically, and contain high oil, high resin or low moisture in leaves and branches. Sunset. (1968). Brush Clearing for Fire Safety. Lane Magazine and Book Company. Describes fire retardant plants as those that are low-growing shrubs, non- native brush, and well maintained and watered brush. Sunset. (1983). Protecting Your Home Against Brushfire. Lane Publishing Company. Lists succulents as having the greatest fire retardance. Herbaceous perennials if well-watered and woody groundcovers if well-watered are also highly recommended. Sunset Western Garden Book. (1995). Menlo Park, CA: Sunset Publishing Corporation. Tarbes, J.A. (1980). Physical Characteristics of Chamise in Relation to Flammability and Combustibility. San Francisco, CA: San Francisco State University. Defines fire performance characteristics of chamise species only. The Staff of the Liberty Hyde Bailey Hortorium, Cornell University. (1976). Hortus Third: A Concise Dictionary of Plants Cultivated in the United States and Canada. New York, NY: MacMillan Publishing Company, Inc. Provides detailed information on mature plant characteristics."
