scientific_name,common_name,plant_type,plant_form,fire_rating,references
Aeonium decorum,Aeonium,succulent,shrub,Fire-Resistant,"7,10,38,53"
Aeonium simsii,Aeonium,succulent,shrub,Fire-Resistant,"7,10,53"
Aesculus,California,,,Fire-Resistant,
californica,buckeye,,,Fire-Resistant,
Agapanthus 'Peter,"Lily of the Nile,",,,Fire-Resistant,
Pan',dwarf Century plant,succulent,shrub,Fire-Resistant,"9,25,37"
Agave victoriae-,Agave,succulent,shrub,Fire-Resistant,"7,10,53"
Ajuga reptans,Carpet bugle,perennial,groundcover,Fire-Resistant,
Alnus rhombifolia,White alder,deciduous,tree,Fire-Resistant,"9,11,17,25,53"
Aloe arborescens,Torch aloe,succulent,shrub,Fire-Resistant,"9,25,53"
Aloe aristata,"Aloe, Dwarf aloe",succulent,shrub,Fire-Resistant,"7,10,40,41,53"
Aloe brevifolia,Aloe,succulent,shrub,Fire-Resistant,"7,10,40,41,53"
Arbutus menziesii,Madrone,evergreen,tree,Fire-Resistant,"11,15,17"
Arbutus unedo,Strawberry tree,evergreen,tree,Fire-Resistant,"8,9,11,12,17,25,30,40,41,42,53"
calendula,"Silver spreader Thrift, Common thrift Silver spreader Sandhill sage",evergreen evergreen evergreen,groundcover shrub shrub,Fire-Resistant,"9,10,12,23,28,30,35,36,37,38,42,53 6,11,16,25"
Asarum caudatum,Wild ginger Four-wing saltbush Saltbush,perennial deciduous,shrub shrub,Fire-Resistant,"11,15,40,41 5,11,19"
semibaccata,Saltbush,evergreen,shrub,Fire-Resistant,
Callistemon,Weeping,,,Fire-Resistant,
viminalis,"bottlebrush Trumpet vine, Trumpet creeper",,,Fire-Resistant,
Carpobrotus,"Ice plant,",,,Fire-Resistant,
edulis,"Hottentot fig, Sea fig Blueblossom Red valerian, Jupiter's beard Snow in summer Carob, St. John's beard",succulent evergreen evergreen,groundcover shrub groundcover,Fire-Resistant,"7,9,10,11,23,24,28,31,35,36,37,53 11,14,15 7,10,17,24,30,37,39,40,41,53"
Cercis occidentalis,"Western redbud Orchid rockrose, Purple rockrose",evergreen,tree,Fire-Resistant,"8,9,11,12,15,17,25,30,34,40,41,42,53"
Cistus villosus,"Purple rockrose,",,,Fire-Resistant,
prostratus,Prostrate,evergreen,groundcover,Fire-Resistant,"9,19,22,37"
(C.salviifolius),rockrose,,,Fire-Resistant,
Citrus spp.,Citrus,evergreen,tree,Fire-Resistant,"8,12,30,34,40,41"
Convolvulus,Bush morning,evergreen,shrub,Fire-Resistant,"8,9,11,12,30,32,39,40,41,42,53"
cneorum,glory,,,Fire-Resistant,
Coprosma kirkii,Creeping coprosma Likiano,evergreen,shrub,Fire-Resistant,"40,41,53"
Cotoneaster,Bearberry,,,Fire-Resistant,
dammerii,cotoneaster,,,Fire-Resistant,
Crassula argentea,Jade plant,succulent,groundcover,Fire-Resistant,"9,25,33"
Crassula lactea,Crassula Crassula,succulent succulent,groundcover groundcover,Fire-Resistant,"7,9,10,25,36,53 7,9,10,25,36,38"
Crassula tetragona,"Crassula White trailing ice plant Wild yellow iris, African iris",succulent,groundcover,Fire-Resistant,"7,10,36,53 37,39,,40,41,42,53"
Dietes vegeta,Fortnight lily,evergreen,shrub,Fire-Resistant,"9,11,12,25,40,41"
longifolius,Monkey flower,perennial,shrub,Fire-Resistant,"11,15,17,25,40,41,42,53"
Drosanthemum,"Ice plant, Rosea",,,Fire-Resistant,
floribundum rosea,ice plant Rosea ice plant,perennial,groundcover,Fire-Resistant,"42,53 7,9,10,18,23,24,25,28,36,39,40,41,53"
Drosanthemum,"Drosanthemum,",,,Fire-Resistant,
speciosum,Dew flower,,,Fire-Resistant,
Duchesnea indica,Mock strawberry Dymondia,perennial evergreen,groundcover groundcover,Fire-Resistant,"8,9,11,12,25,40,41 8,9,25"
Erigeron,Santa Barbara,,,Fire-Resistant,
karvinskianus,"daisy, Fleabane Yerba santa, Hairy yerba santa Golden yarrow California poppy Winter creeper, Common winter creeper",perennial perennial evergreen,shrub shrub groundcover shrub,Fire-Resistant,"5,13,19 40,41,53 8,9,11,12,25,42,53 7,10,30,41"
Feijoa sellowiana,"Pineapple guava Creeping red fescue Wild strawberry, Sand strawberry, ornamental",evergreen,tree,Fire-Resistant,"89,11,12,17,25,30,40, 41,42,53 41,53"
Fraxinus spp.,Ash,deciduous,tree,Fire-Resistant,"18,34,40,41"
Fremontodendron,"Fremontia,",,,Fire-Resistant,
spp.,"Flannel bush Showy Island snapdragon, Hummingbird flower",,,Fire-Resistant,
leucolaena (G.,Trailing,,,Fire-Resistant,"7,10,11,12,23,24,25,27,28,35,36,37,"
uniflora),ganzania,,,Fire-Resistant,"38,39,40,41,42,53"
(G.ringens,Trailing,perennial,groundcover,Fire-Resistant,"7,10,11,12,23,24,25,27,28,35,36,37,"
leucolaena),ganzania Gum,,,Fire-Resistant,"38,39,40,41,42,53"
Grindelia stricta,"plant,Coastal wild gum",perennial,groundcover,Fire-Resistant,"40,41,53"
Grindelia stricta,Coastal wild,,,Fire-Resistant,
venulosa,"gum Licorice plant, Curry plant",,,Fire-Resistant,
Hemerocallis spp.,"Daylily Red yucca Island alum root, Coral bells Evergreen",or evergreen,shrub shrub,Fire-Resistant,"8,9,11,12,14,25,40,41 9,25,40,41"
Iberis,"candytuft,",,,Fire-Resistant,
sempervirens,"Edging candytuft Pacific coast iris, Douglas iris Bladderpod, Bladderbush, Burrofat",evergreen,shrub,Fire-Resistant,"6,16,53"
Kniphofia uvaria,Red hot poker Trailing ice,perennial,shrub,Fire-Resistant,"8,9,11,12,17,25,40,41"
Lampranthus,"plant, bush",,,Fire-Resistant,
aurantiacus,"gold, bush ice plant",,,Fire-Resistant,
Lampranthus,Redondo,,,Fire-Resistant,
filicaulis,creeper Trailing ice plant,succulent,groundcover,Fire-Resistant,"7 ,9,10,11,22,24,25,38,42,53"
Lantana camara &,"Trailing lantana,",evergreen,,Fire-Resistant,
cultivars,Yellow sage,or annual,,Fire-Resistant,
Ligustrum,Texas privet,evergreen,shrub,Fire-Resistant,"11,30,40,41"
Limonium perezii,"rosemary, Sea lavender Carpet grass, Lippia",perennial,shrub,Fire-Resistant,"8,9,11,12,14,25,30,40,41,53"
Liriope gigantea,Giant turf lily,perennial,groundcover,Fire-Resistant,"8,25,40,41"
Lonicera japonica,Hall's,,,Fire-Resistant,
'Halliana',honeysuckle,,,Fire-Resistant,
Macadamia,"Macadamia nut,",,,Fire-Resistant,
hybrids,Queensland nut Creeping mahonia,,,Fire-Resistant,
Malephora,"Ice plant,",,,Fire-Resistant,
crocea,"Croceum ice plant Yellow trailing ice plant New Zealand Christmas tree,Pohutukawa Monkey flower Creeping boobyalla, Myoporum Wax myrtle, Pacific wax",succulent evergreen perennial evergreen,groundcover tree shrub groundcover,Fire-Resistant,"11,12,18,30,40,41,42,53 11,17,15,25,40,41,42,53"
Myrica californica,"myrtle, California wax myrtle Nerine",evergreen bulb,shrub shrub,Fire-Resistant,"11,15,17 8,9,11,25"
oleander,Oleander,evergreen,shrub,Fire-Resistant,
Oenothera,Mexican evening,,,Fire-Resistant,
berlandieri,primrose,,,Fire-Resistant,
Osteospermum,Trailing South,,,Fire-Resistant,
fruticosum,"African daisy, Freeway daisy Ivy geranium",perennial perennial,groundcover groundcover,Fire-Resistant,
Lippia,Lippia Dwarf karo,perennial evergreen,groundcover shrub,Fire-Resistant,"8,9,10,11,12,23,28,35,36,40,21,41 25,40,41"
Pittosporum tobira,"Wheeler's mock orange Aspen,",evergreen,shrub,Fire-Resistant,"11,12,25,40,41"
Populus spp.,"Cottonwood, Poplar Quaking aspen Purslane tree, Elephant's food",deciduous deciduous,tree tree,Fire-Resistant,"11,15,18 9,11,15"
tabernaemontanii,Spring cinquefoil Holly-leaved cherry,evergreen,groundcover,Fire-Resistant,"7,10,37,40,41,53"
Prunus lyonii,"Catalina cherry Plum, Peach, Cherry, Apricot, Evergreen cherry",evergreen,shrub,Fire-Resistant,"5,8,9,11,12,13,25,37,40,41,53"
Punica granatum,Pomegranate,deciduous,shrub,Fire-Resistant,"11,30,40,41,42,53"
Punica granatum,Dwarf,,,Fire-Resistant,
'Nana',"pomegranate Pyracantha, Firethorn Encina, Coast live oak, California live oak",,,Fire-Resistant,
Rhamnus,Italian,,,Fire-Resistant,
alaternus,"buckthorn Coffeeberry Spiny redberry, Redberry, Hollyleaf redberry, Red- berried buckthorn Western azalea",evergreen evergreen,shrub shrub,Fire-Resistant,"9,11,12,15,17,25,26,30,53 17,40,41"
Rhus integrifolia,Lemonade berry,evergreen,shrub,Fire-Resistant,"8,9,12,13,14,15,22,26,37,40,41,53"
Rhus lancea,"African sumac Evergreen currant, Catalina perfume Sonoma sage, Creeping sage",evergreen evergreen,tree shrub,Fire-Resistant,"8,11,12,26,37,40,41 8,9,11,15,17,25,30,53 42,53"
Santolina,"Santolina,",evergreen,shrub,Fire-Resistant,
chamaecyparissus,"Lavender, Gray lavender Fan flower Peruvian pepper tree, California pepper tree Brazilian pepper tree Goldmoss sedum",perennial evergreen,groundcover tree,Fire-Resistant,"8,9,11,12,25 5,9,11,13,17,22,25,30,37,40,41,53"
Sedum album,Green stonecrop,succulent,creeper,Fire-Resistant,"7,10,53"
Sedum brevifolium,"Stonecrop Stonecrop, Sedum Brown bean, Pork and beans Stonecrop Blue ice plant Senecio, Dusty miller, Blue- chalksticks",succulent succulent succulent succulent,groundcover groundcover shrub shrub,Fire-Resistant,"7,9,24,25 11,15,25 9,10,25 7,24,40,41,53"
Simmondsia,"Pignut, Jojoba,",,,Fire-Resistant,
chinensis,"Goatnut Yellow-eyed grass, Blue-eyed grass",perennial,grass,Fire-Resistant,"11,15,40,41,53"
Sisyrinchium,Yellow-eyed,,,Fire-Resistant,
californicum,grass Potato vine Purple nightshade,or,vine,Fire-Resistant,"8,9,12,17,26,30,37,40,41"
Strelitzia reginae,"Bird of paradise Waxberry,",perennial,shrub,Fire-Resistant,"27,40,41"
Symphoricarpos,Creeping,,,Fire-Resistant,
mollis,"snowberry, Trip vine",,,Fire-Resistant,
Tecomaria,Cape,,,Fire-Resistant,
capensis,"honeysuckle Mother of thyme, Creeping thyme",perennial,shrub,Fire-Resistant,"9,10,23,36,40,41"
Thymus,"Woolly thyme,",,,Fire-Resistant,
pseudolanuginosus,Thyme,,,Fire-Resistant,
Trichostema,Woolly blue,,,Highly Flammable,
lanatum,"curls, Romero",,,Highly Flammable,
Trifolium,O'Connor's,,,Highly Flammable,
fragiferum,legume,,,Highly Flammable,
Tulbaghia violacea,Society garlic,perennial,shrub,Highly Flammable,"8,9,25,40,41"
Vinca major,Periwinkle Dwarf periwinkle,perennial,groundcover,Highly Flammable,"7,9,10,11,20,23,24,30,34,36,38,"
Vinca minor,"myrtle, Dwarf running myrtle California",perennial,groundcover,Highly Flammable,"7,10,11,23,24,28,30,36,38,39,53"
Zauschneria,"fuschia,",,,Highly Flammable,
californica,Hummingbird flower,,,Highly Flammable,
Abies spp.,Fir,evergreen,tree,Highly Flammable,"4,8,40,41"
Adenostoma,Greasewood,evergreen,shrub,Highly Flammable,"3,4,8,9,30,40,41,42"
fasciculatum,chamise,,,Highly Flammable,
Adenostoma,Red shanks,evergreen,shrub,Highly Flammable,"8,9,30,42"
Coprosma,Prostrate,evergreen,groundcover,Highly Flammable,"9,25,53"
pumila,coprosma,,,Highly Flammable,
Cortaderia,Pampas,evergreen,grass,Highly Flammable,"4,8,9,40"
selloana,grass,,,Highly Flammable,
Eriogonum,California,perennial,shrub,Highly Flammable,"4,40,41,42"
fasciculatum,buckwheat,,,Highly Flammable,
Eucalyptus,Eucalyptus,evergreen,tree,Highly Flammable,"4,9,8"
globulus,"globulus, Blue gum",,,Highly Flammable,
Larix spp.,Larch,deciduous,tree,Highly Flammable,"8,40,41"
Lonicera,Japanese,evergreen,vine,Highly Flammable,"8,40,41"
japonica,honeysuckle,,,Highly Flammable,
Palms,Palm,evergreen,tree,Highly Flammable,"8,40,41"
Picea spp.,Spruce,evergreen,tree,Highly Flammable,"4,8,40,41"
Pickeringia,Chaparral,evergreen,shrub,Highly Flammable,"8,40,41"
montana,pea,,,Highly Flammable,
Pseudotsuga,Douglas-fir,evergreen,tree,Highly Flammable,"4,40,41"
Spartium,Spanish,evergreen,shrub,Highly Flammable,"4,40,41"
junceum,broom,,,Highly Flammable,
Taxus spp.,Yew,evergreen,tree,Highly Flammable,"4,40,41"
Thuja spp.,Arborvitae,evergreen,tree,Highly Flammable,"4,8,40,41"
Tsuga spp.,Hemlock,evergreen,tree,Highly Flammable,"8,40,41"
