scientific_name,common_name,swap_type,notes,categories
Acacia baileyana,COOTAMUNDRA WATTLE,BAD OR NOXIOUS,,Medium Evergreen to Semi-Evergreen Trees
Acacia cyclops,COASTAL WATTLE,BAD OR NOXIOUS,,Medium Evergreen to Semi-Evergreen Trees
Acacia dealbata,SILVER WATTLE,BAD OR NOXIOUS,,Medium Evergreen to Semi-Evergreen Trees
Acacia longifolia,GOLDEN WATTLE,BAD OR NOXIOUS,,Medium Evergreen to Semi-Evergreen Trees
Acacia melanoxylon,BLACK ACACIA,BAD OR NOXIOUS,,Medium Evergreen to Semi-Evergreen Trees
Acacia paradoxa,KANGAROO THORN,BAD OR NOXIOUS,,Medium Evergreen to Semi-Evergreen Trees
Acacia pycnantha,GOLDEN WATTLE,BAD OR NOXIOUS,,Medium Evergreen to Semi-Evergreen Trees
Acacia saligna,ORANGE WATTLE,BAD OR NOXIOUS,,Medium Evergreen to Semi-Evergreen Trees
Acaena novae-zelandiae,BIDDY-BIDDY,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Acer platanoides,NORWAY MAPLE,BAD OR NOXIOUS,,Smaller trees and large shrubs with mature heights of less than
Adonis aestivalis,PHEASANT’S EYE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Agrostis avenacea,PACIFIC /NEW ZEALAND BENT GRASS,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Ailanthus altissima,TREE OF HEAVEN,BAD OR NOXIOUS,,Medium Deciduous Trees
Allium neapolitanum,ORNAMENTAL WHITE GARLIC,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Ammophila arenaria,EUROPEAN BEACH GRASS,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Ammophila breviligulata,AMERICAN BEACH GRASS,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Ampelodesmos mauritanicus,MAURITANIAN GRASS,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Andropogon virginicus,BROOMSEDGE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Anthoxanthum odoratum,SWEET VERNAL GRASS,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Aptenia cordifolia,"RED APPLE, HEARTLEAF ICEPLANT",BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Arctotheca calendula,CAPEWEED,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Arum italicum,ITALIAN ARUM,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Arundo donax,GIANT REED,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Asclepias curassavica,TROPICAL MILKWEED,BAD OR NOXIOUS,may be harmful to monarch butterflies,"Small Trees / Large Shrubs, Evergreen"
Asparagus densiflorus,ASPARAGUS FERN,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Atriplex semibaccata,AUSTRALIAN SALTBUSH,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Buddleja davidii,BUTTERFLY BUSH,BAD OR NOXIOUS,invasive in riparian areas,"Small Trees / Large Shrubs, Evergreen"
Calicotome spinosa,THORNY BROOM,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
"Camelia japonica, C. sasanqua",DOUBLE CAMELIA VARIETIES,BAD OR NOXIOUS,no pollinator resources,"Small Trees / Large Shrubs, Evergreen"
Carpobrotus chilensis,SEA FIG,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Catalpa bignonioides,SOUTHERN CATALPA,BAD OR NOXIOUS,,Medium Deciduous Trees
Catalpa speciosa,NORTHERN CATALPA,BAD OR NOXIOUS,,Medium Deciduous Trees
Catalpa ×erubescens,HYBRID CATALPA,BAD OR NOXIOUS,invasive in riparian areas,Medium Deciduous Trees
"Cenchrus ciliaris, syn. Pennisetum ciliare",BUFFEL GRASS,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Chrysanthemum coronarium,ANNUAL CROWN DAISY,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Chrysanthemum ×morifolium,HARDY GARDEN MUMS,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Cistus monspeliensis,MONTPELIER ROCKROSE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Convallaria majalis,LILY-OF-THE-VALLEY,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Cordyline australis,NEW ZEALAND CABBAGE TREE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Cortaderia jubata,PURPLE PAMPAS GRASS,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Cortaderia selloana,PAMPAS GRASS,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Corylus avellana,EUROPEAN FILBERT,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Corylus colurna,TURKISH HAZEL,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Corylus maxima,LARGE FILBERT,BAD OR NOXIOUS,import and sale restricted in Pacific Northwest as these are disease vectors for eastern filbert blight,"Small Trees / Large Shrubs, Evergreen"
Cotoneaster franchetii,ORANGE/FRANCHETTI COTONEASTER,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
"Cotoneaster lacteus, syn. Cotoneaster parneyi",MILKFLOWER/LATE COTONEASTER,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Cotoneaster pannosus,SILVERLEAF/VELVET COTONEASTER,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Cotoneaster simonsii,HIMALAYAN COTONEASTER,BAD OR NOXIOUS,; all members of this genus tend to become invasive,"Small Trees / Large Shrubs, Evergreen"
Crataegus monogyna,ENGLISH/COMMON HAWTHORNE,BAD OR NOXIOUS,,Medium Deciduous Trees
Cynara cardunculus ssp. flavescens,CARDOON,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Cynara cardunculus ssp. scolymus,ARTICHOKE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Cynoglossum officinale,COMMON HOUNDSTONGUE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Cytisus multiflorus,WHITE SPANISH BROOM,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Cytisus scoparius,SCOTCH BROOM,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Cytisus striatus,PORTUGUESE BROOM,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Daphne laureola,SPURGE LAUREL,BAD OR NOXIOUS,"(Daphne odora, WINTER DAPHNE, is not at all invasive)","Small Trees / Large Shrubs, Evergreen"
"Dianthus species, doubled carnations and sweet Williams",,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Dicentra eximia,FRINGED BLEEDING HEART,BAD OR NOXIOUS,hybridizes with western bleeding heart,"Small Trees / Large Shrubs, Evergreen"
Dichondra micrantha,DICHONDRA,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
"Dietes bicolor, D. grandiflora, D. iridioides, and hybrids","FORTNIGHT LILY, AFRICAN IRIS",BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Digitalis purpurea,FOXGLOVE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Duchesnea indica,INDIAN MOCK STRAWBERRY,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Echium candicans,PRIDE OF MADEIRA,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Echium plantagineum,PATERSON’S CURSE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
"Ehrharta calycina, E. erecta",VELDT GRASSES,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Elaeagnus angustifolia,RUSSIAN OLIVE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Eragrostis curvula,WEEPING LOVEGRASS,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Erica lusitanica,PORTUGUESE/SPANISH HEATH,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Eucalyptus camaldulensis,RIVER RED GUM,BAD OR NOXIOUS,,Smaller trees and large shrubs with mature heights of less than
Eucalyptus globulus,BLUE GUM,BAD OR NOXIOUS,,Smaller trees and large shrubs with mature heights of less than
Euphorbia oblongata,OBLONG SPURGE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
"Euryops acraeus, E. pectinatus","AFRICAN BUSH DAISY, EURYOPS",BAD OR NOXIOUS,may not attract native bees but only honeybees and flies; more research needed,"Small Trees / Large Shrubs, Evergreen"
Festuca arundinacea,TALL FESCUE,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Ficus carica,EDIBLE FIG,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Foeniculum vulgare,FENNEL,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Gazania linearis,GAZANIA,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
"Genista canariensis, syn. Cytisus canariensis",CANARY ISLAND BROOM,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Genista linifolia,NEEDLE-LEAVED/FLAX BROOM,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
"Genista monosperma, syn. Retama monosperma",BRIDAL VEIL BROOM,BAD OR NOXIOUS,"; all regenerate vigorously after fire from long- lived seed bank, crowd out other species; seeds toxic to livestock and birds","Small Trees / Large Shrubs, Evergreen"
Genista monspessulana,FRENCH BROOM,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Geranium lucidum,SHINING GERANIUM,BAD OR NOXIOUS,and others,"Small Trees / Large Shrubs, Evergreen"
Glechoma hederacea,"CREEPING CHARLEY, GROUND IVY",BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
"Gomphocarpus physocarpus, syn. Asclepias physocarpus","HAIRY BALLS, BALLOONPLANT",BAD OR NOXIOUS,"may be harmful to monarch butterflies, but more research needed","Small Trees / Large Shrubs, Evergreen"
Hedera helix,ENGLISH IVY,BAD OR NOXIOUS,"Hedera canariensis (CANARIAN IVY), and all other ivy relatives (H. algeriensis, H. azorica, H. colchica, H. cypria, H. hibernica, H. iberica, H. maderensis, H. maroccana, H. nepalensis, H. pastuchovii, H. rhombea) and hybrids","Small Trees / Large Shrubs, Evergreen"
Helianthus annuus,ANNUAL SUNFLOWER,BAD OR NOXIOUS,pollenless varieties,"Small Trees / Large Shrubs, Evergreen"
Helichrysum petiolare,LICORICE PLANT,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
Heuchera sanguinea,RED ALUM ROOT,BAD OR NOXIOUS,hybridizes easily,"Small Trees / Large Shrubs, Evergreen"
Iceplants: Carpobrotus edulis,HIGHWAY ICEPLANT,BAD OR NOXIOUS,,"Small Trees / Large Shrubs, Evergreen"
