page,category,swap_type,bad_scientific,bad_common,bad_notes,replacement_scientific,replacement_common,replacement_notes
155,Smaller trees and large shrubs with mature heights of less than,BAD OR NOXIOUS,Eucalyptus camaldulensis,RIVER RED GUM,,Arbutus menziesii,PACIFIC MADRONE,
155,Smaller trees and large shrubs with mature heights of less than,BAD OR NOXIOUS,Eucalyptus camaldulensis,RIVER RED GUM,,Chrysolepis chrysophylla,GIANT/GOLDEN/WESTERN CHINQUAPIN,
155,Smaller trees and large shrubs with mature heights of less than,BAD OR NOXIOUS,Eucalyptus camaldulensis,RIVER RED GUM,,Notholithocarpus densiflorus,TANBARK OAK,
155,Smaller trees and large shrubs with mature heights of less than,BAD OR NOXIOUS,Eucalyptus camaldulensis,RIVER RED GUM,,Quercus agrifolia,COAST LIVE OAK,
155,Smaller trees and large shrubs with mature heights of less than,BAD OR NOXIOUS,Eucalyptus camaldulensis,RIVER RED GUM,,Quercus chrysolepis,"CANYON LIVE OAK, GOLDEN-CUP OAK",
155,Smaller trees and large shrubs with mature heights of less than,BAD OR NOXIOUS,Eucalyptus camaldulensis,RIVER RED GUM,,Quercus engelmannii,ENGELMANN OAK,
155,Smaller trees and large shrubs with mature heights of less than,BAD OR NOXIOUS,Eucalyptus camaldulensis,RIVER RED GUM,,Quercus wislizeni,INTERIOR LIVE OAK,
155,Smaller trees and large shrubs with mature heights of less than,BAD OR NOXIOUS,Eucalyptus camaldulensis,RIVER RED GUM,,Umbellularia californica,"CALIFORNIA BAY, OREGON MYRTLE",
155,Smaller trees and large shrubs with mature heights of less than,BAD OR NOXIOUS,Eucalyptus globulus,BLUE GUM,,Arbutus menziesii,PACIFIC MADRONE,
155,Smaller trees and large shrubs with mature heights of less than,BAD OR NOXIOUS,Eucalyptus globulus,BLUE GUM,,Chrysolepis chrysophylla,GIANT/GOLDEN/WESTERN CHINQUAPIN,
155,Smaller trees and large shrubs with mature heights of less than,BAD OR NOXIOUS,Eucalyptus globulus,BLUE GUM,,Notholithocarpus densiflorus,TANBARK OAK,
155,Smaller trees and large shrubs with mature heights of less than,BAD OR NOXIOUS,Eucalyptus globulus,BLUE GUM,,Quercus agrifolia,COAST LIVE OAK,
155,Smaller trees and large shrubs with mature heights of less than,BAD OR NOXIOUS,Eucalyptus globulus,BLUE GUM,,Quercus chrysolepis,"CANYON LIVE OAK, GOLDEN-CUP OAK",
155,Smaller trees and large shrubs with mature heights of less than,BAD OR NOXIOUS,Eucalyptus globulus,BLUE GUM,,Quercus engelmannii,ENGELMANN OAK,
155,Smaller trees and large shrubs with mature heights of less than,BAD OR NOXIOUS,Eucalyptus globulus,BLUE GUM,,Quercus wislizeni,INTERIOR LIVE OAK,
