scientific_name,common_name,notes,categories
Abronia maritima,RED SAND VERBENA,,"Small Trees / Large Shrubs, Evergreen"
Abronia umbellata,PINK SAND VERBENA,,"Small Trees / Large Shrubs, Evergreen"
Abronia villosa,HAIRY SAND VERBENA,,"Small Trees / Large Shrubs, Evergreen"
Acaena pinnatifida,CALIFORNIA SHEEP BURR,,"Small Trees / Large Shrubs, Evergreen"
Acer circinatum,OREGON VINE MAPLE,,Medium Deciduous Trees
Acer macrophyllum,BIG LEAF MAPLE,,Smaller trees and large shrubs with mature heights of less than
Acer negundo,BOX ELDER,,Medium Deciduous Trees
Achillea millefolium,YARROW,,"Small Trees / Large Shrubs, Evergreen"
"Acmispon glaber, syn. Lotus scoparius",DEERWEED,,"Small Trees / Large Shrubs, Evergreen"
"Adelinia grandis, syn. Cynoglossum grande",WESTERN HOUNDSTONGUE,,"Small Trees / Large Shrubs, Evergreen"
Adenostoma fasciculatum,CHAMISE,,"Small Trees / Large Shrubs, Evergreen"
Aesculus californica,CALIFORNIA BUCKEYE,,Medium Deciduous Trees
Alnus incana subsp. tenuifolia,MOUNTAIN/THIN-LEAVED/GRAY ALDER,,Medium Deciduous Trees
Alnus rhombifolia,WHITE ALDER,,Smaller trees and large shrubs with mature heights of less than
Alnus rubra,RED ALDER,,Smaller trees and large shrubs with mature heights of less than
Amelanchier alnifolia,"WESTERN/PACIFIC SERVICEBERRY, JUNEBERRY, WESTERN SHADBUSH",,"Medium Deciduous Trees; Small Trees / Large Shrubs, Evergreen"
Anaphalis margaritacea,PEARLY EVERLASTING,,"Small Trees / Large Shrubs, Evergreen"
Antennaria rosea,ROSY PUSSYTOES,,"Small Trees / Large Shrubs, Evergreen"
Antirrhinum multiflorum,WITHERED SNAPDRAGON,and others Clarkia amoena (FAREWELL TO SPRING),"Small Trees / Large Shrubs, Evergreen"
Aquilegia eximia,SERPENTINE COLUMBINE,,"Small Trees / Large Shrubs, Evergreen"
Aquilegia formosa,WESTERN COLUMBINE,,"Small Trees / Large Shrubs, Evergreen"
Aralia californica,ELK CLOVER,,"Small Trees / Large Shrubs, Evergreen"
Arbutus menziesii,PACIFIC MADRONE,,Medium Evergreen to Semi-Evergreen Trees; Smaller trees and large shrubs with mature heights of less than
Arctostaphylos bakeri,BAKER’S MANZANITA,"A. pajaroensis (PAJARO MANZANITA), and others Atriplex canescens (FOUR-WING SALTBUSH)","Small Trees / Large Shrubs, Evergreen"
Arctostaphylos columbiana,HAIRY MANZANITA,,Medium Evergreen to Semi-Evergreen Trees
Arctostaphylos cruzensis,ARROYO DE LA CRUZ MANZANITA,"A. densiflora (VINE HILL MANZANITA), and others Ceanothus cordulatus (MOUNTAIN WHITETHORN)","Small Trees / Large Shrubs, Evergreen"
Arctostaphylos edmundsii,LITTLE SUR MANZANITA,"A. pumila (SANDMAT MANZANITA), A. uva ursi (KINNICKINNICK), and several named varieties Eriogonum grande var. rubescens, syn. Eriogonum rubescens (RED- FLOWERED BUCKWHEAT, SAN MIGUEL ISLAND BUCKWHEAT)","Small Trees / Large Shrubs, Evergreen"
Arctostaphylos glandulosa,EASTWOOD MANZANITA,"and others Ceanothus crassifolius (HOARY-LEAVED CEANOTHUS), C. cuneatus (BUCKBRUSH), C. velutinus (TOBACCO BRUSH), and others Eriogonum arborescens (SANTA CRUZ ISLAND BUCKWHEAT)","Small Trees / Large Shrubs, Evergreen"
Arctostaphylos glauca,BIG BERRY MANZANITA,,Medium Evergreen to Semi-Evergreen Trees
Arctostaphylos insularis,ISLAND MANZANITA,"A. viscida (WHITELEAF MANZANITA), and others Atriplex breweri (BREWER SALTBUSH), A. canescens (SHADSCALE), A. lentiformis (BIG SALTBUSH), and others Condea emoryi, syn. Hyptis emoryi (DESERT LAVENDER, BUSHMINT)","Small Trees / Large Shrubs, Evergreen"
Arctostaphylos manzanita,COMMON MANZANITA,,Medium Evergreen to Semi-Evergreen Trees
Arctostaphylos nevadensis,PINEMAT MANZANITA,,"Small Trees / Large Shrubs, Evergreen"
Arctostaphylos nummularia,GLOSSY- LEAVED MANZANITA,and others Baccharis pilularis (COYOTE BRUSH),"Small Trees / Large Shrubs, Evergreen"
Arctostaphylos pajaroensis,PAJARO MANZANITA,"and others Frangula californica, syn. Rhamnus californica (COFFEEBERRY)","Small Trees / Large Shrubs, Evergreen"
Arctostaphylos uva- ursi,KINNIKINNICK,,"Small Trees / Large Shrubs, Evergreen"
Argemone corymbosa,MOJAVE PRICKLY POPPY,,"Small Trees / Large Shrubs, Evergreen"
Argemone munita,CHICALOTE,,"Small Trees / Large Shrubs, Evergreen"
Aruncus dioicus,GOAT’S BEARD,,"Small Trees / Large Shrubs, Evergreen"
Asarum caudatum,WILD GINGER,,"Small Trees / Large Shrubs, Evergreen"
Asclepias albicans,WHITESTEM MILKWEED,,"Small Trees / Large Shrubs, Evergreen"
Asclepias asperula,SPIDER MILKWEED,,"Small Trees / Large Shrubs, Evergreen"
Asclepias californica,CALIFORNIA MILKWEED,,"Small Trees / Large Shrubs, Evergreen"
Asclepias cordifolia,HEART LEAF MILKWEED,,"Small Trees / Large Shrubs, Evergreen"
Asclepias cryptoceras,PALLID MILKWEED,,"Small Trees / Large Shrubs, Evergreen"
Asclepias eriocarpa,KOTOLO MILKWEED,,"Small Trees / Large Shrubs, Evergreen"
Asclepias erosa,DESERT MILKWEED,,"Small Trees / Large Shrubs, Evergreen"
Asclepias fascicularis,NARROWLEAF MILKWEED,,"Small Trees / Large Shrubs, Evergreen"
Asclepias linaria,PINE NEEDLE MILKWEED,,"Small Trees / Large Shrubs, Evergreen"
Asclepias nyctaginifolia,MOJAVE MILKWEED,,"Small Trees / Large Shrubs, Evergreen"
Asclepias speciosa,SHOWY MILKWEED,,"Small Trees / Large Shrubs, Evergreen"
Asclepias subulata,"RUSH/SKELETON MILKWEED, AJAMETE",,"Small Trees / Large Shrubs, Evergreen"
Asclepias vestita,WOOLLY MILKWEED,,"Small Trees / Large Shrubs, Evergreen"
Atriplex confertifolia,SHADSCALE,,"Small Trees / Large Shrubs, Evergreen"
Atriplex hymenelytra,DESERT HOLLY,,"Small Trees / Large Shrubs, Evergreen"
Atriplex lentiformis,BIG SALTBUSH,,"Small Trees / Large Shrubs, Evergreen"
Atriplex parryi,PARRY’S SALTBUSH,,"Small Trees / Large Shrubs, Evergreen"
Atriplex polycarpa,"ALLSCALE, CATTLE SALTBUSH",,"Small Trees / Large Shrubs, Evergreen"
Atriplex watsonii,MATSCALE,,"Small Trees / Large Shrubs, Evergreen"
Baccharis pilularis,COYOTE BRUSH,,"Small Trees / Large Shrubs, Evergreen"
Baccharis pilularis var. pilularis,DWARF COYOTE BRUSH,,"Small Trees / Large Shrubs, Evergreen"
Baccharis salicifolia,MULE FAT,,"Small Trees / Large Shrubs, Evergreen"
"Bahiopsis parishii, syn. Viguiera deltoidea",GOLDENEYE,,"Small Trees / Large Shrubs, Evergreen"
Balsamorhiza deltoidea,DELTOID BALSAMROOT,"B. sagittata (ARROW- LEAVED BALSAMROOT), and others Perideridia californica (YAMPAH), P. montana (MOUNTAIN YAMPAH), and others Salvia spathacea (HUMMINGBIRD SAGE)","Small Trees / Large Shrubs, Evergreen"
Balsamorhiza sagittata,ARROWLEAF BALSAMROOT,,"Small Trees / Large Shrubs, Evergreen"
"Berberis aquifolium, syn. Mahonia aquifolium",TALL OREGON GRAPE,,"Small Trees / Large Shrubs, Evergreen"
"Berberis nervosa, syn. Mahonia nervosa",LONGLEAF MAHONIA,,"Small Trees / Large Shrubs, Evergreen"
"Berberis nevinii, syn. Mahonia nevinii",NEVIN’S BARBERRY,,"Small Trees / Large Shrubs, Evergreen"
Berberis pinnata,COAST BARBERRY,,"Small Trees / Large Shrubs, Evergreen"
"Berberis repens, syn. Mahonia repens",CREEPING MAHONIA,,"Small Trees / Large Shrubs, Evergreen"
Betula papyrifera,PAPERBARK BIRCH,,Smaller trees and large shrubs with mature heights of less than
Calamagrostis nutkaensis,PACIFIC REEDGRASS,,"Small Trees / Large Shrubs, Evergreen"
Calycanthus occidentalis,SPICE BUSH,,"Small Trees / Large Shrubs, Evergreen"
"Calylophus hartwegii, C. drummondianus",SUNDROPS,,"Small Trees / Large Shrubs, Evergreen"
Camassia leichtlinii,GREAT CAMAS,,"Small Trees / Large Shrubs, Evergreen"
Camassia quamash,SMALL CAMAS,,"Small Trees / Large Shrubs, Evergreen"
Campanula rotundifolia,BLUEBELL BELLFLOWER,,"Small Trees / Large Shrubs, Evergreen"
Campanula scabrella,ROUGH BELLFLOWER,,"Small Trees / Large Shrubs, Evergreen"
Carex barbarae,SANTA BARBARA SEDGE,,"Small Trees / Large Shrubs, Evergreen"
Carex filifolia,THREADLEAF SEDGE,,"Small Trees / Large Shrubs, Evergreen"
Carex globosa,ROUND FRUIT SEDGE,,"Small Trees / Large Shrubs, Evergreen"
Carex pansa,"SAND DUNE SEDGE, CALIFORNIA MEADOW SEDGE",,"Small Trees / Large Shrubs, Evergreen"
Carex praegacilis,CLUSTERED FIELD SEDGE,,"Small Trees / Large Shrubs, Evergreen"
Carex spissa,SAN DIEGO SEDGE,,"Small Trees / Large Shrubs, Evergreen"
