plant_type,scientific_name,cultivar,botanical_name_raw,common_name,total_on_site,grower_source,comments
Annual,Cleome serrulata,,Cleome serrulata,Rocky Mountain Beeplant,6+,Prairie Moon Nursery,Reseeding annual
Bulb,Allium acuminatum,,Allium acuminatum,Hooker's Onion,,Fourth Corner Nurseries,
Bulb,Allium christophii,,Allium christophii,Star of Persia,,HCG,
Bulb,Allium karataviense,,Allium karataviense,'Ivory Queen' Onion,,HCG,
Bulb,Allium schubertii,,Allium schubertii,Tumbleweed Onion,,Dutch Gardens,
Bulb,Anemone blanda,,Anemone blanda,Anemone Blue Shades,,Colorblends.com,
Bulb,Chionodoxa luciliae,,Chionodoxa luciliae,Glory of the Snow,,Colorblends.com,Crevice garden
Bulb,Crocus vernus,,Crocus vernus,Hokus Crocus™,,Colorblends.com,
Bulb,Fritillaria imperialis,,Fritillaria imperialis,'Lutea' Crown Imperial Fritillaria,,Van Engelen,
Bulb,Galanthus elwesii,,Galanthus elwesii,Snowdrops,,HCG,
Bulb,Galanthus elwesii,,Galanthus elwesii,Snowdrops,,Colorblends.com,
Bulb,Iris reticulata,,Iris reticulata,'Harmony' Iris,,Colorblends.com,
Bulb,Iris reticulata,,Iris reticulata,'Harmony' Iris,,NEON,
Bulb,Muscari armeniacum,,Muscari armeniacum,Grape Hyacinth,,Roger,Naturalizes under ideal conditions
Bulb,Narcissus,,Narcissus,60 Days Mix,,HCG,
Bulb,Narcissus,,Narcissus,'Jetfire' Daffodil,,Colorblends.com,
Bulb,Narcissus,,Narcissus,'Rapture' Daffodil,,Colorblends.com,
Bulb,Tulipa,,Tulipa,Rainbow Coalition® Tulip Blend,,Colorblends.com,
Bulb,Tulipa,,Tulipa,Wildfyre™ Wild Tulip,,Colorblends.com,
Bulb,Tulipa bakeri,,Tulipa bakeri,'Lilac Wonder' Wild Tulip,,Colorblends.com,
Bulb,Tulipa humilis,,Tulipa humilis,'Persian Pearl' Wild Tulip,,HCG,
Bulb,Tulipa praestans,,Tulipa praestans,Praestans Shogun Wild Tulips,,Colorblends.com,Plot 1
Bulb,Tulipa tarda,,Tulipa tarda,Tarda Tulip,,Colorblends.com,
Bulb,Tulipa turkestanica,,Tulipa turkestanica,Turkestanica Tulip,,Colorblends.com,
Grass,Bouteloua gracilis,,Bouteloua gracilis,'Hachita' Blue Grama,,HCG,"Plot 9, plugs, overseeded with straight species"
Grass,Buchloe dactyloides,,Buchloe dactyloides,'Legacy' Buffalograss,,HCG,"Plot 10, overseeded with 'Sundancer'"
Grass,Cynodon,,Cynodon,Dog Tuff™,,HCG,Plot 12
Grass,Festuca idahoensis,,Festuca idahoensis,Idaho Fescue,,BSU Hort,
Grass,Festuca ovina,,Festuca ovina,Sheep Fescue,,,Sheep fescue lawn
Grass,Zoysia,,Zoysia,Zenith Zoysia,,Zoysiaplug.com,"Plot 11, plugs, overseeded with straight species"
Groundcover,Achillea ageratifolia,,Achillea ageratifolia,Greek Yarrow,1,HCG,Crevice garden
Groundcover,Acinos alpinus,,Acinos alpinus,Alpine Rock Thyme,1,Far West,Plot 5
Groundcover,Ajuga reptans,,Ajuga reptans,Bugleweed,3,CWI Hort,
Groundcover,Aloinopsis spathulata,,Aloinopsis spathulata,Hardy Living Stone,1,Edwards,Crevice garden
Groundcover,Antennaria carpatica,,Antennaria carpatica,Pussytoes,6+,Roger,
Groundcover,Antennaria spp.,,Antennaria spp.,Pussytoes,12+,,
Groundcover,Arenaria,,Arenaria,'Wallowa Mountains' Desert Moss,2,HCG,Zero maintenance
Groundcover,Arenaria,,Arenaria,'Wallowa Mountains' Desert Moss,3,IDFW,Crevice garden
Groundcover,Arenaria alfacarensis,,Arenaria alfacarensis,Spanish Sandwort,1,Meadow View Farms,Zero maintenance
Groundcover,Artemisia caucasica,,Artemisia caucasica,Wormwood,4,Roger,
Groundcover,Campanula cochlearifolia,,Campanula cochlearifolia,'Alpine Breeze Blue' Bellflower,4,CWI Hort,Best in part-shade
Groundcover,Delosperma,,Delosperma,Table Mountain® 'John Proffitt' Ice Plant,12,Far West / Propagation,
Groundcover,Delosperma,,Delosperma,Table Mountain® 'John Proffitt' Ice Plant,6,Sunscapes,
Groundcover,Delosperma,,Delosperma,'Lavender Ice' Ice Plant,3,Sunscapes/ Edwards,
Groundcover,Delosperma,,Delosperma,'Alan's Apricot' Ice Plant,3,HCG,
Groundcover,Delosperma,,Delosperma,Delmara™ Fuchsia,3,CWI Hort,
Groundcover,Delosperma,,Delosperma,Delmara™ Pink,1,Edwards GH,
Groundcover,Delosperma,,Delosperma,Fire Spinner® Ice Plant,5,Edwards/IDFW Prop,
Groundcover,Delosperma,,Delosperma,Granita® Orange Ice Plant,3,HCG / Edwards,
Groundcover,Delosperma congestum,,Delosperma congestum,'Gold Nugget' Ice Plant,1,Jellito Seed,
Groundcover,Delosperma nubigenum,,Delosperma nubigenum,Yellow Ice Plant,1,Far West,
Groundcover,Dianthus simulans,,Dianthus simulans,"Bulgarian Pink, Alpine Dianthus",6+,Walla Walla Nursery Co.,
Groundcover,Dianthus simulans,,Dianthus simulans,"Bulgarian Pink, Alpine Dianthus",2,IDFW,Crevice garden
Groundcover,Erigeron scopulinus,,Erigeron scopulinus,Rock Fleabane,2,Draggin' Wing,
Groundcover,Eriogonum umbellatum,,Eriogonum umbellatum,Sulphur Buckwheat,8+,Buffalo Berry Farm,
Groundcover,Eriogonum umbellatum v. aureum,,Eriogonum umbellatum v. aureum,'Psdowns' Kannah Creek® Buckwheat,2,Sunscapes,
Groundcover,Eriogonum umbellatum v. aureum,,Eriogonum umbellatum v. aureum,'Psdowns' KANNAH CREEK® Buckwheat,3,Edwards GH,
Groundcover,Fragaria,,Fragaria,'Lipstick' Strawberry,8+,Bluestone Perennials,
Groundcover,Geranium sanguineum,,Geranium sanguineum,'Elke' Geranium,3,Roots & Rhizomes,
Groundcover,Geranium sanguineum v. striatum,,Geranium sanguineum v. striatum,Bloody Cranesbill,8+,Forest Farm,"Readily reseeds, cut back by mid-season"
Groundcover,Globularia cordifolia,,Globularia cordifolia,Globe Daisy,1,Edwards,Crevice garden
Groundcover,Globularia repens,,Globularia repens,'Nana' Leatherleaf Powder Puff/Globe Daisy,1,HCG,
Groundcover,Marrubium rotundifolium,,Marrubium rotundifolium,Silver Edged Horehound,2,IDFW Prop,
Groundcover,Penstemon barrettiae,,Penstemon barrettiae,Barrett's Beardtongue,7,Fourth Corner Nurseries,"Showy, limited geographic range; woody base, cut back every few years to rejuvenate (very early spring)"
Groundcover,Penstemon davidsonii,,Penstemon davidsonii,Davidson's Penstemon,3,IDFW,"Woody base, cut back every few years to rejuvenate (very early spring)"
Groundcover,Penstemon davidsonii v. menziesii,,Penstemon davidsonii v. menziesii,Menzies' Penstemon,5,IBG,
Groundcover,Penstemon davidsonii v. menziesii,,Penstemon davidsonii v. menziesii,'Microphyllus' Green Mat Penstemon,5,HCG,
Groundcover,Penstemon pinifolius,,Penstemon pinifolius,'Mersea Yellow' Pineleaf Penstemon,3,Jayker,
Groundcover,Penstemon pinifolius,,Penstemon pinifolius,Pineleaf Penstemon,17,Walla Walla Nursery Co.,"Can get woody with age, rejuvenation pruning as needed, to the base"
Groundcover,Penstemon pinifolius,,Penstemon pinifolius,'Luminous' Pineleaf Penstemon,1,HCG,Plot 5
Groundcover,Penstemon pinifolius,,Penstemon pinifolius,SteppeSuns® Sunset Glow Penstemon,3,HCG,
Groundcover,Penstemon xylus,,Penstemon xylus,Tushar Bluemat Penstemon,5,HCG/PS,
Groundcover,Petrosedum rupestre,,Petrosedum rupestre,'Rice Creek' Winter Fire® Sedum,3,Ross/PS,
Groundcover,Petrosedum rupestre,,Petrosedum rupestre,'Rice Creek' Winter Fire® Sedum,6+,IDFW Prop,
Groundcover,Phlox,,Phlox,Creeping Phlox,3,,
Groundcover,Phlox bifida,,Phlox bifida,Snowmass® Phlox,1,HCG,Crevice garden
Groundcover,Phlox subulata,,Phlox subulata,'Snowflake' Creeping Phlox,1,Far West,Plot 5
Groundcover,Pterocephalus depressus,,Pterocephalus depressus,Moroccan Pincushion Flower,3,HCG,
Groundcover,Pterocephalus depressus,,Pterocephalus depressus,Moroccan Pincushion Flower,1,IDFW,Crevice garden
Groundcover,Saponaria lempergii,,Saponaria lempergii,Giant Flowered Soapwort,6+,IDFW Prop,
Groundcover,Saponaria lempergii,,Saponaria lempergii,'Max Frei' Giant Flowered Soapwort,3,HCG,
Groundcover,Saponaria ocymoides,,Saponaria ocymoides,Rock Soapwort,5,HCG,
Groundcover,Saponaria ocymoides,,Saponaria ocymoides,Rock Soapwort,5,IDFW Prop,
Groundcover,Sedum,,Sedum,Sunsparkler® 'Wildfire',2,MCG,
Groundcover,Sedum acre,,Sedum acre,Golden Carpet,50,Jelitto Seed,
Groundcover,Sedum album,,Sedum album,'Athoum' Stonecrop,3,Andrea,Plot 3
Groundcover,Sedum album,,Sedum album,'Coral Carpet' Creeping Stonecrop,10,Plants of the Wild/CWI,
Groundcover,Sedum middendorfianum,,Sedum middendorfianum,Chinese Mountain Stonecrop,12+,HCG,
Groundcover,Sedum rupestre,,Sedum rupestre,'Angelina' Stonecrop,10,IBG,
Groundcover,Sedum rupestre,,Sedum rupestre,'Angelina' Stonecrop,12+,IDFW Prop,
Groundcover,Sedum sichotense,,Sedum sichotense,Stonecrop,2,Far West,"Bright, red fall color"
