common_name,scientific_name,authority,cultivar,flammability_rank
Glossy abelia,Abelia x grandiflora,(Andre) Rehd.,,Moderate
Pipestem,Agarista populifolia,(Lam.) Judd,,Moderate
Azalea,Azalea obtusum,(Lindl.) Planch.,Hershey red,Moderate
Butterfly bush,Buddleia davidii,(Franch.),Royal red,Low
Boxwood,Buxus microphylla var. koreana,Siebold & Zucc.,Wintergreen,Moderate
Beautyberry,Callicarpa dichotoma,(Lour.) C. Koch,Profusion,Low
Camellia,Camellia japonica,L.,,Low
Summer-sweet; sweet pepperbush,Clethra alnifolia,L.,,Low
Leyland cypress,x Cupressocyparis leylandii,(A. B. Jacks. & Dallim.),,Moderate
Klein's forsythia,Forsythia x intermedia,Zab.,,Low
Cape jasmine,Gardenia jasminoides,Ellis,August beauty,Low
Bigleaf hydrangea; French hydrangea,Hydrangea macrophylla,(Thunb.) Ser.,Nikko,Low
Oakleaf hydrangea,Hydrangea quercifolia,Bartr.,,Low
Foster holly,Ilex x attenuata,Ashe,Fosteri,Low
Gallberry,Ilex glabra,L.,Compacta,High
Blue holly,Ilex x meservea,S. Y. Hu,Mesdob,Moderate
Winterberry,Ilex verticillata,(L.) A. Gray,Berry nice,Low
Dwarf yaupon,Ilex vomitoria,Ait.,Schellings dwarf,High
Anisetree,Illicium floridanum,Ellis,,Low
Ashe juniper; Ozark white cedar,Juniperus ashei,Buchh.,,Moderate
Chinese juniper,Juniperus chinensis,L.,Pfitzerana,High
Mountain laurel; calico bush,Kalmia latifolia,L.,Olympic fire,High
Bayberry; candleberry,Myrica pennsylvanica,Loisel.,,Low
Oleander,Nerium oleander,L.,Calypso,Low
Pittosporum,Pittosporum tobira,(Thunb.) Ait.,Compacta,Low
Potentilla; shrubby cinquefoil; golden hardhack,Potentilla fruiticosa,L.,Gold star,Low
Scarlet firethorn,Pyracantha coccinea,M. J. Roem.,Mohave,Low
Rhododendron,Rhododendron x chionoides,L.,Chionoides,Moderate
Rosebay; great laurel,Rhododendron maximum,L.,,Low
Arrowwood,Viburnum dentatum,L.,Chicago luster,Low
Walter's viburnum,Viburnum obovatum,Walt.,,Low
Weigela,Weigela florida,(Bunge) A. DC.,Wine and roses,Low
Adam's needle,Yucca filamentosa,L.,,Low
Coontie,Zamia pumila,L.,,Low
