scientific_name,common_name,lifeform,category,comments,ca_native,origin,fire_rating,recommendation,pyrophytic
Achillea milleflorium,Yarrow,grnd covr,GROUND COVERS,"perennial,  summer semi-deciduous",True,California Native,Fire-Resistant,,False
Ajuga reptans,Carpet bugleweed,grnd cover,GROUND COVERS,"perennial,  can be invasive",False,Europe,Fire-Resistant,,False
Armeria maritima ssp californica,California Sea Pink  (Thrift),grnd covr,GROUND COVERS,evergreen,True,California Native,Fire-Resistant,,False
Cerastium tomentosum,Snow-in-Summer,grnd cover,GROUND COVERS,"perennial,  can be invasive",False,Europe,Fire-Resistant,,False
Coprosma kirkii,Creeping Coprosma,"grnd cover, shrub",GROUND COVERS,"evergreen, deciduous, can be invasive",False,"Australia, So. Pacific",Fire-Resistant,,False
Delosperma hybrids,Trailing Iceplant,grnd cover,GROUND COVERS,succulent,False,So. & E. Africa,Fire-Resistant,,False
Drosanthemum sp.,Rosea Ice Plant,grnd cover,GROUND COVERS,succulent,False,So. Africa,Fire-Resistant,,False
Eounymus Fortunei coloratus,Winter Creeper,"grnd cover, vine",GROUND COVERS,can be invasive,False,E. Asia,Fire-Resistant,,False
Erigeron glaucus,Beach Aster (Seaside Fleabane),grnd cover,GROUND COVERS,perennial,True,California Native,Fire-Resistant,,False
Festuca spp,California Fescue,grnd covr,GROUND COVERS,"perennial, summer dormant",False,X  (4 native to EB Hills),Fire-Resistant,,False
Fragaria chiloensis/Fragaria vesca,"Wild or Coast Strawberry
(Woodland strawberry)",grnd covr,GROUND COVERS,evergreen,True,California Native,Fire-Resistant,,False
Iberis sempervirens,Evergreen Candytuft,grnd cover,GROUND COVERS,evergreen,False,Europe,Fire-Resistant,,False
Lampranthus spp.,Bush Ice Plant,grnd cover,GROUND COVERS,succulent,False,So. Africa,Fire-Resistant,,False
Liriope gigantea,Giant Turf Lily,"grnd cover, shrub",GROUND COVERS,evergreen,False,S.E.Asia,Fire-Resistant,,False
Pelargonium peltatum,Ivy Geranium,"grnd cover, shrub",GROUND COVERS,succulent,False,So. Africa,Fire-Resistant,,False
Phyla nodiflora,Common Lippia,grnd cover,GROUND COVERS,perennial,True,California Native,Fire-Resistant,,False
"Potentilla anserina, Potentilla rivalis",Silverweed/Brook River Cinquefoil,grnd cover,GROUND COVERS,perennial,False,X  (4 native to EB Hills),Fire-Resistant,,False
Drymocallis glandulosa,Sticky Cinquefoil (Woodbeauty),grnd cover,GROUND COVERS,"perennial,  winter deciduous",True,California Native,Fire-Resistant,,False
Salvia spp.,Sage,grnd covr,GROUND COVERS,perennial,False,X  (2 native to EB Hills),Fire-Resistant,,False
Santolina virens,Green Lavender Cotton,"grnd cover, shrub",GROUND COVERS,perennial,False,Mediterranean,Fire-Resistant,,False
Sedum spp.,Stonecrop,grnd cover,GROUND COVERS,perennial succulent,False,X  (21 native to CA),Fire-Resistant,,False
"Senecio serpens, mandralisce, vitalis",Blue chalksticks,grnd cover,GROUND COVERS,succulent,False,So Africa,Fire-Resistant,,False
"Sisyrinchium bellum,
S. californicum",Blue-eyed Grass/ Yellow-eyed Grass,grnd covr,GROUND COVERS,perennial,False,X  (1 native to EB Hills),Fire-Resistant,,False
Thymus praecox arcticus,Creeping Thyme,grnd cover,GROUND COVERS,"evergreen, can be invasive",False,Europe,Fire-Resistant,,False
Verbena peruviana,Perennial Verbena (Vervain),grnd cover,GROUND COVERS,evergreen,False,So. America,Fire-Resistant,,False
Achillea tomentosa,Woolly Yarrow,"Perennial, 
grnd cover",PERENNIALS,evergreen,False,Eurasia,Fire-Resistant,,False
Aeonium spp.,Aeonium,Perennial,PERENNIALS,succulent,False,"Canary Islands, E. Africa",Fire-Resistant,,False
Agapanthus spp.,Lily-of-the-Nile,Perennial,PERENNIALS,evergreen,False,So. Africa,Fire-Resistant,,False
Agave spp.,Agave,Perennial,PERENNIALS,succulent,False,"Mexico, So. America",Fire-Resistant,,False
Aloe spp.,Aloe,Perennial,PERENNIALS,succulent,False,"So. Africa, Indian Ocean",Fire-Resistant,,False
Aquilegia formosa,Western Columbine,Perennial,PERENNIALS,winter deciduous,True,California Native,Fire-Resistant,,False
Asarum caudatum,Wild Ginger,"Perennial, shrub",PERENNIALS,evergreen,True,California Native,Fire-Resistant,,False
Bergenia spp.,"Bergenia 
(Elephant-eared Saxufrage)",Perennial,PERENNIALS,evergreen,False,Central Asia,Fire-Resistant,,False
Centaurea cineraria,Dusty Miller (Velvet Centaurea),Perennial,PERENNIALS,evergreen,False,Italy,Fire-Resistant,,False
Clinopodium [Satureja] douglasii,Yerba Buena,"Perennial, 
grnd cover",PERENNIALS,evergreen,True,California Native,Fire-Resistant,,False
Cotyledon spp.,Cotyledon,Perennial,PERENNIALS,succulent,False,So. Africa,Fire-Resistant,,False
Crassula spp.,Crassula,Perennial,PERENNIALS,succulent,False,So. Africa,Fire-Resistant,,False
Dicentra formosa,Western (Pacific) Bleeding Heart,Perennial,PERENNIALS,winter deciduous,True,California Native,Fire-Resistant,,False
Dietes bicolor,African Iris,Perennial,PERENNIALS,evergreen,False,So. Africa,Fire-Resistant,,False
Dietes vegeta,Fortnight Lily,Perennial,PERENNIALS,evergreen,False,So. Africa,Fire-Resistant,,False
Dudleya,Dudleya/Cliff Lettuce,Perennial,PERENNIALS,succulent,False,X  (49 native to CA),Fire-Resistant,,False
Echeveria spp.,Hen and Chicks,Perennial,PERENNIALS,succulent,False,"Mexico, Central & 
So. America",Fire-Resistant,,False
Epilobium canum [Zauschneria californica],California Fuchsia,"Perennial shrub, grnd cover",PERENNIALS,winter semi-deciduous,True,California Native,Fire-Resistant,,False
Eriogonum spp.,Wild Buckwheat,Perennial,PERENNIALS,evergreen,False,X  (8 native to EB Hills),Fire-Resistant,,False
Eriophyllum confertiforum,Golden Yarrow,"Perennial, shrub",PERENNIALS,winter deciduous,True,California Native,Fire-Resistant,,False
Eriophyllum stachaedifolium,Seaside Woolly Sunflower,Perennial,PERENNIALS,evergreen,True,California Native,Fire-Resistant,,False
Erysimum capitatum,Sanddune Wallflower,Perennial,PERENNIALS,evergreen,True,California Native,Fire-Resistant,,False
Erysimum linifolium,Wallflower,Perennial,PERENNIALS,evergreen,False,So. Europe,Fire-Resistant,,False
Eschscholzia spp.,California Poppy,Perennial,PERENNIALS,summer deciduous,False,X  (2 native to EB Hills),Fire-Resistant,,False
Grindelia stricta,Oregon Gumweed,Perennial,PERENNIALS,summer semi-deciduous,True,California Native,Fire-Resistant,,False
Grindelia camporum,Great Valley Gumweed (Wild Gum),Perennial,PERENNIALS,summer semi-deciduous,True,California Native,Fire-Resistant,,False
Hemerocallis hybrids,Daylily,Perennial,PERENNIALS,evergreen,False,E. Asia,Fire-Resistant,,False
Hesperaloe parviflora,Red Yucca,Perennial,PERENNIALS,succulent,False,"Texas, Mexico",Fire-Resistant,,False
Heuchera maxima,Island Alum Root,Perennial,PERENNIALS,evergreen,True,California Native,Fire-Resistant,,False
Heuchera micrantha,Coral Bells,"Perennial, 
grnd cvr",PERENNIALS,evergreen,True,California Native,Fire-Resistant,,False
Iris douglasiana,Douglas Iris,Perennial,PERENNIALS,evergreen,True,California Native,Fire-Resistant,,False
Iris macrosiphon,Ground Iris (Long tubed Iris),Perennial,PERENNIALS,winter deciduous,True,California Native,Fire-Resistant,,False
Kniphofia uvaria,Red Hot Poker (Torch Lily),Perennial,PERENNIALS,evergreen,False,So. Africa,Fire-Resistant,,False
Lupinus spp.,Lupine,Perennial,PERENNIALS,evergreen,False,X  (18 native to EB hills),Fire-Resistant,,False
Mimulus aurantiacus,Monkey Flower,"Perennial, Shrub",PERENNIALS,evergreen,True,California Native,Fire-Resistant,,False
Mimulus guttatus,Seep Monkey Flower,"Perennial, Shrub",PERENNIALS,evergreen,True,California Native,Fire-Resistant,,False
Monardella villosa,Coyote Mint,Perennial,PERENNIALS,summer semi-deciduous,True,California Native,Fire-Resistant,,False
Oenothera berlandieri (speciosa),Mexican Evening Primrose,Perennial,PERENNIALS,summer semi-deciduous,False,"Texas, Mexico",Fire-Resistant,,False
Penstemon spp.,Beard Tongue,Perennial,PERENNIALS,evergreen,False,X  (2 native to EB Hills),Fire-Resistant,,False
Polystichum munitum,Sword Fern,Perennial,PERENNIALS,summer semi-deciduous,True,California Native,Fire-Resistant,,False
"Portulacaria afra ""Variegata""",Elephant's Foot (Miniature Jade),Perennial,PERENNIALS,succulent,False,So. Africa,Fire-Resistant,,False
Ranunculus californica,Buttercup,Perennial,PERENNIALS,summer deciduous,True,California Native,Fire-Resistant,,False
Romneya coulteri,Matilija Poppy,Perennial,PERENNIALS,summer deciduous,True,California Native,Fire-Resistant,,False
Sidalcea malviflora,Checkerbloom,Perennial,PERENNIALS,summer semi-deciduous,True,California Native,Fire-Resistant,,False
"Sisyrinchium bellum,
S. californicum",Blue-eyed Grass/Yellow-eyed Grass,Perennial,PERENNIALS,summer semi-deciduous,False,X  (1 native to EB Hills),Fire-Resistant,,False
Stachys byzantina,Lamb's Ears,Perennial,PERENNIALS,winter deciduous,False,"Turkey, Armenia",Fire-Resistant,,False
Strelitzia reginae,Bird of Paradise,"Perennial, Shrub",PERENNIALS,evergreen,False,So. Africa,Fire-Resistant,,False
Symphotrichum chilensis,Wild Aster (California Aster),Perennial,PERENNIALS,winter deciduous,True,California Native,Fire-Resistant,,False
Toxicoscordion [Zigadenus] fremontii,Star Lily,Perennial,PERENNIALS,evergreen,True,California Native,Fire-Resistant,,False
Triteleia [Brodiaea] laxa,Grass Nut (Ithuriel's Spear),Perennial,PERENNIALS,summer deciduous,True,California Native,Fire-Resistant,,False
Tulbaghia violocea,Society Garlic (Pink Agapanthus),Perennial,PERENNIALS,evergreen,False,So. Africa,Fire-Resistant,,False
Arctostaphylos ssp. (some),Manzanita,shrub,SHRUBS,evergreen,False,X  (8 native to EB Hills),Fire-Resistant,,False
Artemisia pycnocephala,Sandhill sage (Coastal Sagewort),shrub,SHRUBS,evergreen,True,California Native,Fire-Resistant,,False
Atriplex lentiformis breweri,Saltbush (Quail bush),shrub,SHRUBS,"evergreen,  can be invasive",True,California Native,Fire-Resistant,,False
Berberis [Mahonia] aquifolium var. repens,Dwarf Mahonia (Oregon Grape),Shrub,SHRUBS,evergreen,True,California Native,Fire-Resistant,,False
Brugmansia spp.,Angel's Trumpet,Shrub,SHRUBS,poisonous,False,So. America,Fire-Resistant,,False
Carpenteria californica,Bush Anemone,Shrub,SHRUBS,evergreen,True,California Native,Fire-Resistant,,False
Ceanothus thrysiflorus,California Lilac (Blueblossom),shrub,SHRUBS,evergreen,True,California Native,Fire-Resistant,,False
Coleonema pulchellum  (Diosma),Breath of Heaven,Shrub,SHRUBS,,False,So. Africa,Fire-Resistant,,False
Convolvulus cneorum,Bush Morning Glory (Silverbush),Shrub,SHRUBS,evergreen,False,Europe,Fire-Resistant,,False
Coreopsis spp.,"Stillman's Coreopsis/ 
Giant Coreopsis/Sea Dahlia",Shrub,SHRUBS,evergreen,False,X  (5 native to CA),Fire-Resistant,,False
Escallonia spp.,Escallonia,Shrub,SHRUBS,,False,So. America,Fire-Resistant,,False
Feijoa [Acca] sellowiana,Pineapple Guava,"Shrub, tree",SHRUBS,"evergreen, edible fruit",False,So. America,Fire-Resistant,,False
Fremotodendron spp.,Fremontia (Flannel Bush),shrub,SHRUBS,evergreen,False,X  (3 native to CA),Fire-Resistant,,False
Galvezia [Gambelia] speciosa,Showy Island snapdragon (Hummingbird Flower),shrub,SHRUBS,evergreen,True,California Native,Fire-Resistant,,False
Heteromeles arbutifolia,Toyon,shrub,SHRUBS,evergreen,True,California Native,Fire-Resistant,,False
Lantana montevidensis,Lantana (Weeping Lantana),Shrub,SHRUBS,evergreen,False,So. America,Fire-Resistant,,False
Lavandula spp.,Lavender,Shrub,SHRUBS,,False,"Europe, Africa, Mediterranean, Asia",Fire-Resistant,,False
Lavatera assurgentiflora,"Malva Rosa
(Island Mallow, Tree Mallow)",Shrub,SHRUBS,evergreen,True,California Native,Fire-Resistant,,False
Mimulus [longiflorus] aurantiacus,Monkey Flower,shrub,SHRUBS,perennial,True,California Native,Fire-Resistant,,False
Morella [Myrica] californica,California Wax Myrtle,"shrub, grnd covr",SHRUBS,evergreen,True,California Native,Fire-Resistant,,False
Nolina spp.,Nolina (Beargrass),Shrub,SHRUBS,evergreen,False,X  (4 native to CA),Fire-Resistant,,False
Prunus ilicifolia,Holly-leafed cherry,shrub,SHRUBS,"evergreen, edible fruit",True,California Native,Fire-Resistant,,False
Prunus ilicifolia subsp lyonii,Catalina Cherry,Shrub,SHRUBS,evergreen,True,California Native,Fire-Resistant,,False
Punica granatum,Pomegranate,Shrub,SHRUBS,evergreen,False,Middle East,Fire-Resistant,,False
Frangula [Rhamnus] californica,Coffeeberry (California Buckthorn),shrub,SHRUBS,evergreen,True,California Native,Fire-Resistant,,False
Rhamnus crocea,Redberry (Red-berried Buckthorn),shrub,SHRUBS,evergreen,True,California Native,Fire-Resistant,,False
Rhaphiolepis spp.,India Hawthorn,Shrub,SHRUBS,evergreen,False,Asia,Fire-Resistant,,False
Rhododendron [Azalea] spp.,Rhododendrons and Azaleas,Shrub,SHRUBS,some,False,X  (6 native to CA),Fire-Resistant,,False
