scientific_name,common_name,plant_type,plant_form,fire_rating,invasive,references
Achillea millefolium white,White yarrow,perennial,shrub,Fire-Resistant,False,"25, 40, 41, 53"
Achillea tomentosa var. Moonshine,Woolly yarrow,perennial,groundcover,Fire-Resistant,False,"7, 11, 12, 13, 23, 25, 26, 28, 32, 35, 36, 37, 39"
Aeonium decorum,Aeonium,succulent,shrub,Fire-Resistant,False,"7, 10, 38, 53"
Aeonium simsii,Aeonium,succulent,shrub,Fire-Resistant,False,"7, 10, 53"
Aesculus californica,California buckeye,deciduous,tree,Fire-Resistant,False,"11, 15, 17"
Agapanthus 'Peter Pan',"Lily of the Nile, dwarf",evergreen,shrub,Fire-Resistant,False,"9, 10, 25"
Agave americana 'Alba Picata',Century plant,succulent,shrub,Fire-Resistant,False,"9, 25, 37"
Agave victoriae-reginae,Agave,succulent,shrub,Fire-Resistant,False,"7, 10, 53"
Ajuga reptans,Carpet bugle,perennial,groundcover,Fire-Resistant,False,"7, 9, 10, 11, 17, 23, 28, 35, 36, 40, 41, 53"
Alnus rhombifolia,White alder,deciduous,tree,Fire-Resistant,False,"9, 11, 17, 25, 53"
Aloe arborescens,Torch aloe,succulent,shrub,Fire-Resistant,False,"9, 25, 53"
Aloe aristata,"Aloe, Dwarf aloe",succulent,shrub,Fire-Resistant,False,"7, 10, 40, 41, 53"
Aloe brevifolia,Aloe,succulent,shrub,Fire-Resistant,False,"7, 10, 40, 41, 53"
Arbutus menziesii,Madrone,evergreen,tree,Fire-Resistant,False,"11, 15, 17"
Arbutus unedo,Strawberry tree,evergreen,tree,Fire-Resistant,False,"8, 9, 11, 12, 17, 25, 30, 40, 41, 42, 53"
Arctotheca calendula,Silver spreader,evergreen,groundcover,Fire-Resistant,True,"7, 8, 9, 10, 11, 12, 18, 20, 21, 23, 24, 25, 26, 28, 30, 31, 34, 35, 36, 37, 38, 40, 41, 42, 53"
Armeria maritima,"Thrift, Common thrift",evergreen,groundcover,Fire-Resistant,False,"9, 10, 11, 12, 15, 25, 40, 41"
Artemisia caucasica,Silver spreader,evergreen,shrub,Fire-Resistant,False,"9, 10, 12, 23, 28, 30, 35, 36, 37, 38, 42, 53"
Artemisia pycnocephala,Sandhill sage,evergreen,shrub,Fire-Resistant,False,"6, 11, 16, 25"
Asarum caudatum,Wild ginger,perennial,shrub,Fire-Resistant,False,"11, 15, 40, 41"
