Latin binomial,Common Names,Rating,Alert,Impact Score,Invasiveness Score,Distribution Score,Documentation Score,CDFA Rating
Acacia baileyana,cootamundra wattle,Watch,,,,,,
Acacia cyclops,cyclops Acacia,Watch,,,,,,
Acacia dealbata,silver wattle,Moderate,,B,B,B,2.5,
Acacia longifolia,Sydney golden wattle,Watch,,,,,,
Acacia melanoxylon,blackwood Acacia,Limited,,C,C,B,3,
Acacia paradoxa,kangaroothorn,Watch,,,,,,
Acacia pycnantha,golden wattle,Watch,,,,,,
Acacia saligna,orange wattle,Watch,,,,,,
Acaena novae-zelandiae,biddy-biddy,Watch,,,,,,
Aegilops cylindrica,jointed goatgrass,Watch,,,,,,
Aegilops triuncialis,"barb goatgrass, barbed goatgrass",High,,A,A,B,3.5,
Ageratina adenophora,"eupatory, croftonweed, thoroughwort, sticky snakeroot, catweed, hemp agrimony, sticky agrimony, sticky Eupatorium",Moderate,,B,B,B,3.5,
Agrostis avenacea,Pacific bentgrass,Limited,,C,C,C,2.5,
Agrostis stolonifera,creeping bent; carpet bent; redtop bent; seaside bentgrass,Limited,,C,B,C,2,
Ailanthus altissima,tree-of-heaven; Chinese sumac; paradise-tree; copal-tree,Moderate,,B,B,B,3,
Alhagi maurorum,camelthorn,Moderate,,B,B,B,3,
Alliaria petiolata,"garlic mustard, hedge garlic, Jack-by-the-edge",Moderate,Alert,B,A,C,3.5,
Alopecurus pratensis,meadow foxtail,Watch,,,,,,
Alternanthera philoxeroides,alligatorweed,High,,A,B,C,3,
Alyssum corsicum,yellowtuft,Watch,,,,,,
Alyssum murale,yellowtuft,Watch,,,,,,
Ambrosia trifida,giant ragweed,Watch,,,,,,
Ammophila arenaria,European beachgrass,High,,A,B,B,3,
Anthoxanthum odoratum,sweet vernal grass; vanilla grass,Limited,,C,B,B,3,
Araujia sericifera,bladderflower,Watch,,,,,,
Arctotheca calendula,fertile capeweed,Moderate,Alert,B,B,C,3.5,
Arctotheca prostrata,capeweed; South African capeweed; cape dandelion; cape gold,Moderate,,B,B,B,2.5,
Arum italicum,"Italian Arum, Italian lords and ladies, large cuckoo pint, orange candleflower",Watch,,,,,,
Arundo donax,giant reed,High,,A,B,A,3,
Asparagus setaceus,common Asparagus fern,Watch,,,,,,
Asparagus aethiopicus,"Asparagus fern, Sprenger's Asparagus, foxtail fern",Watch,,,,,,
Asparagus asparagoides,bridal creeper; African Asparagus fern; ornamental Asparagus; smilax Asparagus,Moderate,Alert,B,B,D,2.5,
Asphodelus fistulosus,onion weed; asphodel; hollow stemmed asphodel; wild onion,Moderate,Alert,B,A,C,3,
Atriplex semibaccata,Australian saltbush; berry saltbush; creeping saltbush; scrambing berry saltbush,Moderate,,B,B,B,3,
Avena barbata,slender oat,Moderate,,B,B,A,3.5,
Avena fatua,wild oats,Moderate,,B,B,A,3.5,
Bassia hyssopifolia,five-hook Bassia; five horn Bassia; five-horn smotherweed; hyssop-leaved echinopsilon; smotherweed; thorn orache;,Limited,,C,C,B,2.5,
Bellardia trixago,Bellardia; mediterranean lineseed,Limited,,C,C,C,2,
Berberis darwinii,Darwin barberry,Watch,,,,,,
Berteroa incana,hoary Alyssum,Watch,,,,,,
Brachypodium distachyon,annual false-brome; false brome; purple false brome; stiff brome,Moderate,,B,B,B,2.5,
Brachypodium sylvaticum,slender false-brome; false-brome,Moderate,Alert,B,B,D,2.5,
Brassica nigra,black mustard,Moderate,,B,B,A,2,
Brassica rapa,field mustard; turnip,Limited,,C,B,B,2,
Brassica tournefortii,Sahara mustard; Morrocan mustard; Asian mustard,High,,A,A,B,2.5,
Briza maxima,"big quakinggrass; rattlesnake grass; large quakinggrass,",Limited,,B,C,B,2.5,
Bromus diandrus,ripgut brome; great brome; ripgut grass,Moderate,,B,B,A,3.5,
Bromus hordeaceus,soft brome; soft chess; lopgrass,Limited,,B,C,A,3,
Bromus japonicus,Japanese brome; Japanese chess,Limited,,B,C,B,2.5,
Bromus madritensis ssp. rubens,red brome; foxtail chess,High,,A,B,A,3,
Bromus tectorum,cheatgrass; downy brome,High,,A,B,A,3,
Buddleja davidii,butterfly bush,Watch,,,,,,
Cakile maritima,European sea rocket,Limited,,C,B,B,3.5,
Carduus acanthoides,plumeless thistle; bristly thistle; giant plumeless thistle; spiny thistle,Limited,,B,C,C,3,
Carduus nutans,musk thistle; giant plumeless thistle; nodding (plumeless) thistle;,Moderate,,B,B,B,3,
Carduus pycnocephalus,Italian thistle,Moderate,,B,B,A,3,
