scientific_name,common_name,category
Azolla pin,"Mosquito fern, water velvet",Aquatic
Caulerpa taxifolia,Killer algae,Aquatic
Eichhornia azurea,Anchored water,Aquatic
Hydrilla verticillata,Hydri lla,Aquatic
Hygrophila polysperma,Miramar weed,Aquatic
Ipomoea aquatica,,Aquatic
Lagarosiphon major,Africa n elodea,Aquatic
Limnophila sessiliflora,Ambulia,Aquatic
Melaleuca quinquenervia,Broadleaf paper bark tree,Aquatic
Monochoria hastata,Arrowleaf false pickerelweed,Aquatic
Monochoria vaginalis,Heartshape false pickerelweed,Aquatic
Ottelia alismoides,Duck lettuce,Aquatic
Sagittaria sagittifolia,Arrowhead,Aquatic
Salvinia auriculata,Giant salvinia,Aquatic
Salvinia biloba,Giant salvinia,Aquatic
Salvinia herzogii,Giant salvinia,Aquatic
Salvinia molesta,Giant salvinia,Aquatic
Solanum tampicense,Wetland nightshade,Aquatic
Sparganium erectum,,Aquatic
Aeginetia sp,Varies by species,Parasitic
Alectra,Varies by species,Parasitic
Cuscuta,Dodders,Parasitic
Orobanche,Broomrapes,Parasitic
Striga,Witchweeds,Parasitic
Acacia nilotica,Prickly acacia,Terrestrial
Ageratina adenophora,Crofton weed,Terrestrial
Ageratina riparia,"Mistflower, spreading snakeroot",Terrestrial
Alternanthera sessilis,Sessile joyweed,Terrestrial
Arctotheca calendula,Capeweed,Terrestrial
Asphodelus fistulosus,,Terrestrial
Avena sterilis,"Animated oat, wild oat",Terrestrial
Carthamus oxyacantha,Wild safflower,Terrestrial
Chrysopogon aciculatus,Pilipiliula,Terrestrial
Commelina benghalensis,Benghal dayflower,Terrestrial
Crupina vulgaris,Common crupina,Terrestrial
Digitaria scalarum,"African couchgrass, fingergrass",Terrestrial
Digitaria velutina,"P alisot de Velvet fingergrass, annual",Terrestrial
Drymaria arenariodes,Lightning w eed,Terrestrial
Emex australis,,Terrestrial
Emex spinosa,,Terrestrial
Euphorbia terracina,Geraldton carnation,Terrestrial
Galega officinalis,Goats rue,Terrestrial
Heracleum,Giant hogweed,Terrestrial
Imperata brasilie,Brazilian satintail,Terrestrial
Imperata cylindrica,Cogongrass,Terrestrial
Inula britannica,British yellowhead,Terrestrial
Ischaemum rugosum,Murainograss,Terrestrial
Leptochloa chinensis,Asian sprangletop,Terrestrial
Lycium ferocissimum,African boxthorn,Terrestrial
Lygodium flexuosum,Maidenhair creeper,Terrestrial
Lygodium microphyllum,Old world climbing fern,Terrestrial
Melastoma,Malabar melastome,Terrestrial
Mikania cordat,Mile-a-minute,Terrestrial
Mikania micrantha,Bittervine,Terrestrial
Mimosa invisa,Giant sensitive plant,Terrestrial
Mimosa pigra,Catclaw mimosa,Terrestrial
Moraea collina,Cape tulip,Terrestrial
Moraea flaccida,One leaf cape tulip,Terrestrial
Moraea miniata,Two leaf cape tulip,Terrestrial
Moraea ochroleuca,Apricot tulip,Terrestrial
Moraea pallida,Yellow tulip,Terrestrial
Nassella trichotoma,Serrated tussock,Terrestrial
Onopordum acaulon,Stemless thistle,Terrestrial
Onopordum illyricum,Illyricum thistle,Terrestrial
Opuntia aurantiaca,Jointed prickly pear,Terrestrial
Oryza longistaminata,Red rice,Terrestrial
Oryza punctata,Red rice,Terrestrial
Oryza rufipogon,Red rice,Terrestrial
Paspalum scrobiculatum,,Terrestrial
Pennisetum,Kikuyugrass,Terrestrial
Pennisetum pedicellatum,Kyasumagrass,Terrestrial
Pennisetum polystachion,"Missiongrass, thin napiergrass",Terrestrial
Prosopis alpataco,Mesquite,Terrestrial
Prosopis argentina,Mesquite,Terrestrial
Prosopis articulata,Velvet mesquite,Terrestrial
Prosopis burkartii,Mesquite,Terrestrial
Prosopis caldenia,Calden,Terrestrial
Prosopis calingastana,Cusqui,Terrestrial
Prosopis campestris,Mesquite,Terrestrial
Prosopis castellanosii,Mesquite,Terrestrial
Prosopis denudans,Mesquite,Terrestrial
Prosopis elata,Mesquite,Terrestrial
Prosopis farcta,Syrian mesquite,Terrestrial
Prosopis ferox,Mesquite,Terrestrial
Prosopis fiebrigii,Mesquite,Terrestrial
Prosopis hassleri,Mesquite,Terrestrial
Prosopis humilis,Algaroba,Terrestrial
Prosopis kuntzei,Mesquite,Terrestrial
Prosopis pallida,,Terrestrial
Bonpland,,Terrestrial
Prosopis palmeri,Mesquite,Terrestrial
Prosopis reptans,Tornillo,Terrestrial
Prosopis rojasiana,Mesquite,Terrestrial
Prosopis ruizlealii,Mesquite,Terrestrial
Prosopis ruscifolia,Mesquite,Terrestrial
Prosopis sericantha,Mesquite,Terrestrial
Prosopis strombulifera,Argentine screwbean,Terrestrial
Prosopis torquata,Mesquite,Terrestrial
Lagasca y,,Terrestrial
Rottboellia,Itchgrass,Terrestrial
Rubus fruticosis,Wild blackberry,Terrestrial
Rubus moluccanus,Wild raspberry,Terrestrial
Saccharum spontaneum,Wild sugarcane,Terrestrial
Salsola vermiculata,Wormleaf salsola,Terrestrial
Senecio inaequidens,African ragwort,Terrestrial
Senecio,Fireweed,Terrestrial
Setaria pumila,Cattail grass,Terrestrial
Solanu m,Turkeyberry,Terrestrial
Solanum viar,Tropical soda apple,Terrestrial
Spermacoce alata,Winged false buttonweed,Terrestrial
Tridax procumbens,Coat buttons,Terrestrial
Urochloa panicoides,Liverseed grass,Terrestrial
