locality,scientific_name,common_name,family,order,degree_of_establishment,establishment_means,pathway,habitat,is_hybrid,intro_date,gbif_key
AK,Achillea filipendulina,Fernleaf yarrow,Asteraceae,Asterales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,3120284
AK,Achillea ptarmica,Sneezeweed,Asteraceae,Asterales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3120333
AK,Acorus calamus,Calamus,Acoraceae,Acorales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2018-02-13,2873769
AK,Aegopodium podagraria,Bishop's goutweed,Apiaceae,Apiales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,3034620
AK,Agropyron cristatum,Crested wheatgrass,Poaceae,Poales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2705196
AK,Agropyron desertorum,Desert wheatgrass,Poaceae,Poales,invasive (category D2),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,2705200
AK,Agrostemma githago,Common corncockle,Caryophyllaceae,Caryophyllales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3085368
AK,Agrostis capillaris,Colonial bentgrass,Poaceae,Poales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2706490
AK,Agrostis gigantea,Redtop,Poaceae,Poales,established (category C3),introduced: assisted colonization,agriculture (including biofuel feedstocks),Artificial - Terrestrial; Artificial - Aquatic; Introduced Vegetation; Grassland; Wetlands (inland),FALSE,2017-11-21,2706541
AK,Agrostis stolonifera,Creeping bentgrass,Poaceae,Poales,widespread invasive (category E),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,2706435
AK,Aira caryophyllea,Silver hairgrass,Poaceae,Poales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,7747216
AK,Alchemilla mollis,Lady's mantle,Rosaceae,Rosales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-09-07,3028528
AK,Alchemilla monticola,Hairy lady's mantle,Rosaceae,Rosales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3028763
AK,Alchemilla subcrenata,Broadtooth lady's mantle,Rosaceae,Rosales,established (category C3),"introduced (alien, exotic, non-native, nonindigenous)",,,FALSE,2017-11-21,3028176
