usda_symbol,scientific_name,common_name,state
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
ABMA,Abies magnifica,,CA North
ACCI,Acer circinatum,,CA North
ACHY,Achnatherum hymenoides,,CA North
ACMA3,Acer macrophyllum,,CA North
ACMI2,Achillea millefolium,,CA North
ADFA,Adenostoma fasciculatum,,CA North
AECA,Aesculus californica,,CA North
ALUN,Allium unifolium,,CA North
ABCO,Abies concolor,,CA North
ABGR,Abies grandis,,CA North
