Name,Business Type,Company Type,Ships To,Mailing Address,City,State,Zip,Phone,Fax,Email,Website,Description,Supply Categories,Slug
365 Freight Solution LLC,"Allied Service or Supplier, Re-Wholesaler/Broker","Transportation Logistics, Sales, Business Services & Supplies","Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","365 Freight Solution LLC, PO Box 337, Nampa, ID 83653",Nampa,ID,83653,208-649-5023,208-649-5006,russ.damyan@365-freight.com,https://www.365freightsolution.com/,"Our utmost priority is to provide exceptional transportation services to our customers. We offer a comprehensive range of services that caters to all your shipping needs, including transportation services to all 48 states with a variety of options such as refrigerated, dry van, flatbed, and other specialized freight services. We also offer refrigerated and dry van intermodal & OTR services, along with LTL and FTL loads to provide you with unparalleled convenience and flexibility. Our state-of-the-art live tracking system allows you to monitor your shipment's every move from the moment it's picked up until it's delivered, ensuring complete transparency throughout the process. Additionally, we pride ourselves on our 24/7 availability to assist you with any questions or concerns you may have, and our team of experts is always ready to provide you with top-notch customer service.""",Intermodal Transportation / Logistics; Local and Long Haul Transportation and Logistics; TRANSPORTATION and LOGISTICS; TRUCKERS and FREIGHT BROKERS,365-freight-solution-llc
7th Star Nursery,,,,"7th Star Nursery, 21851 S Schieffer Rd, Colton, OR 97017",Colton,OR,97017,971-244-2090,,7thstarnursery@mail.com,,,,7th-star-nursery
A & R Spada Farms LLC,Grower,Plants,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada",,,,,503-633-2941,503-633-8054,orders@spadafarms.com,http://www.spadafarms.com/,"Celebrating 60 years, A & R Spada Farms continues to grow
and cultivate more than 2,000 acres in Oregon’s Willamette Valley. Our rich,
fertile soil produces quality crops which include seeds, grains, hazelnuts, and
ornamental landscape plants. We take pride in growing plants that are shipped all
over the United States and Canada. Visit our website for a complete listing of ourcurrent availability.Our mission is to continuously improve and provide our customers
with a wide variety of quality plants, on time, and at competitive prices.",,a-r-spada-farms-llc
A-ROO Company,Allied Service or Supplier,Production Services & Supplies,"Northeast, Upper Midwest, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada, Europe",,,,,440-238-8850,,kkrusinski@a-roo.com,http://www.a-roo.com/,"Packaging and marketing of plants and flowers is what A-ROO does. As the largest sleeve supplier in North America, A-ROO Company has been serving the greenhouse and nursery industry for nearly 50 years. In addition to transport sleeves, A-ROO manufactures a variety of different styles of pot covers, over pots, decorative wraps, tags, signage, decorative sleeves, and more. Check out our website to see more of what A-ROO has to offer.",,a-roo-company
AF Nursery LLC,Grower,,,"AF Nursery LLC, 13930 NE Boones Ferry Rd., Woodburn, OR 97071-8909",Woodburn,OR,97071-8909,503-871-1250,,afnurseryllc@gmail.com,,"Grower specializing in grafted liners, maples, skip laurel and B&B conifers.",,af-nursery-llc
AMS Garden Center POS,Supplier,,,"AMS Garden Center POS, 4099 Foxwood Drive, Ste 107, Virginia Beach, VA 23462",Virginia Beach,VA,23462,757-495-4995,,mshutter@amsretail.com,http://www.amsretail.com,,,ams-garden-center-pos
Abiqua Landscape Products,Allied Service or Supplier,Landscaping Supplies,,"Abiqua Landscape Products, 1295 N 1st St., Silverton, OR 97381",Silverton,OR,97381,503-873-3535,,abiqualandscapeproducts@gmail.com,,,,abiqua-landscape-products
"Adapt8, Solexx","Allied Service or Supplier, Greenhouse",,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada, Asia , Europe",,,,,877-476-5399,,info@adapt8.us,https://www.adapt8.us,"Manufacturer ofSolexx twin-wall greenhouse covering. Solexx paneling provides significant
savings on greenhouse heating costs with a 2.1 to 2.3 R value. With a 10-year
warranty, our customers enjoy a return on their investment in energy savings
within two to four years. In addition, Adapt8 supplies corrugated plastic tree
trunk protectors for tissue culture trees like filberts. ContactAdapt8for a
free energy analysis.","Coverings; Coverings (Greenhouses); Greenhouse Systems Consulting; TREE GUARDS, Corrugated Plastic; Twin Wall Polyethylene Coverings",adapt8-solexx
Adelman Peony Garden LLC,Nursery,Internet and Catalog Sales,,"Adelman Peony Garden LLC, 5690 Brooklake Rd. NE, Salem, OR 97305",Salem,OR,97305,503-393-6185,,kady@peonyparadise.com,http://www.peonyparadise.com/,,,adelman_peony_garden_llc
AdeptAg,"Grower, Greenhouse",,"Northeast, Upper Midwest, Mid-Atlantic, Rocky Mountain, Southeast & Gulf, Southwest, Pacific Northwest, Canada","AdeptAg, 300 Creekside Dr., Oberlin, OH 44074",Oberlin,OH,44074,877-233-7824,,dmclaughlin@adeptag.com,http://www.adeptag.com,"Bellpark Horticulture handles the unique automation needs of the horticulture industry in North America. We carry taggers, fillers, transplanters, graders and much more. We pride ourselves on our commitment to service. We have trained technicians which provide full technical support and offer same-day shipping on stocked parts.",,adeptag
