scientific_name,family,group,origin,comments,source
Cardamine occulta,Brassicaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Carduus crispus,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Carex comans,Cyperaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Carex mesochorea,Cyperaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Carex pumila,Cyperaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Carpobrotus edulis,Aizoaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Carum carvi,Apiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Celastrus orbiculatus,Celastraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Centaurea × kleinii,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Centaurea × psammogena,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Centaurea calcitrapa,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Centaurea iberica,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Centaurea nigrescens,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Centella erecta,Apiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Chaerophyllum temulum,Apiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Chamaemelum mixtum,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Chamaesyce prostrata,Euphorbiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Chamaesyce serpens,Euphorbiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Chenopodium capitatum var. capitatum,Amaranthaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Chenopodium incanum var. occidentale,Amaranthaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Chenopodium incognitum,Amaranthaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Chenopodium murale,Amaranthaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Chenopodium polyspermum var. acutifolium,Amaranthaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Chenopodium strictum var. glaucophyllum,Amaranthaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Chenopodium subglabrum,Amaranthaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Chenopodium vulvaria,Amaranthaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Chloris radiata,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cicer arietinum,Fabaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cirsium ochrocentrum var. ochrocentrum,Asteraceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cladoraphis cyperoides,Poaceae,Monocotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
Cnidium monnieri,Apiaceae,Dicotyledons,"exotic, not naturalized",,AcceptedTaxa_NotTreatedInFlora
