scientific_name,family,group,was_status,now_status,flora_page,source
Acorus calamus,Acoraceae,Monocotyledons,Accepted,misapplied to Acorus americanus,"Volume 1, Page 129",Flora_ChangeSincePublication
Achnatherum lemmonii ssp. lemmonii,Poaceae,Monocotyledons,Accepted,Synonym of Eriocoma lemmonii ssp. lemmonii,"Volume 1, Page 343",Flora_ChangeSincePublication
Achnatherum occidentale ssp. californicum,Poaceae,Monocotyledons,Accepted,Synonym of Eriocoma occidentalis ssp. californica,"Volume 1, Page 345",Flora_ChangeSincePublication
Achnatherum occidentale ssp. pubescens,Poaceae,Monocotyledons,Accepted,Synonym of Eriocoma occidentalis ssp. pubescens,"Volume 1, Page 345",Flora_ChangeSincePublication
Acroptilon repens,Asteraceae,Dicotyledons,Accepted,Synonym of Rhaponticum repens,"Volume 2, Page 164",Flora_ChangeSincePublication
Adiantum aleuticum,Pteridaceae,Pteridophytes,Accepted,Accepted,"Volume 1, Page 97",Flora_ChangeSincePublication
Thinopyrum ponticum,Poaceae,Monocotyledons,Accepted,Synonym of Thinopyrum obtusiflorum,"Volume 1, Page 485",Flora_ChangeSincePublication
Bromus carinatus var. marginatus,Poaceae,Monocotyledons,Accepted,Synonym of Bromus sitchensis var. marginatus,"Volume 1, Page 369",Flora_ChangeSincePublication
Ammophila arenaria ssp. arenaria,Poaceae,Monocotyledons,Accepted,Synonym of Calamagrostis arenaria ssp. arenaria,"Volume 1, Page 358",Flora_ChangeSincePublication
Eucephalus tomentellus,Asteraceae,Dicotyledons,Accepted,Synonym of Doellingeria tomentella,"Volume 2, Page 267",Flora_ChangeSincePublication
Eucephalus gormanii,Asteraceae,Dicotyledons,Accepted,Synonym of Doellingeria gormanii,"Volume 2, Page 266",Flora_ChangeSincePublication
Eucephalus ledophyllus var. ledophyllus,Asteraceae,Dicotyledons,Accepted,Synonym of Doellingeria ledophylla var. ledophylla,"Volume 2, Page 267",Flora_ChangeSincePublication
Eucephalus elegans,Asteraceae,Dicotyledons,Accepted,Synonym of Doellingeria elegans,"Volume 2, Page 265",Flora_ChangeSincePublication
Eucephalus vialis,Asteraceae,Dicotyledons,Accepted,Synonym of Doellingeria vialis,"Volume 2, Page 267",Flora_ChangeSincePublication
