scientific_name,common_name,pollen_nectar,attracts,insect_count
Achillea millefolium,Common Yarrow,"P, N","lacewings, syrphid_flies, tachinid_flies, soldier_beetles, mason_potter_wasps, yellowjackets, paper_wasps, bumble_bees, leafcutter_bees, mining_bees, sweat_bees",11
Arnoglossum atriplicifolium,Pale Indianlantain,"P, N","syrphid_flies, tachinid_flies, soldier_beetles, thynid_wasps, mason_potter_wasps, yellowjackets, paper_wasps, bumble_bees, sweat_bees",9
Asclepias syriaca,Common Milkweed,N,"syrphid_flies, tachinid_flies, soldier_beetles, thynid_wasps, mason_potter_wasps, yellowjackets, paper_wasps, bumble_bees, long_horned_bees, leafcutter_bees, sweat_bees",11
Asclepias incarnata,Swamp Milkweed,N,"tachinid_flies, soldier_beetles, thynid_wasps, mason_potter_wasps, yellowjackets, paper_wasps, bumble_bees, long_horned_bees, leafcutter_bees, sweat_bees",10
Ceanothus americanus,New Jersey Tea,"P, N","syrphid_flies, tachinid_flies, thynid_wasps, mason_potter_wasps, paper_wasps, bumble_bees, mining_bees, sweat_bees",8
Coreopsis palmata,Plains Coreopsis,"P, N","syrphid_flies, tachinid_flies, soldier_beetles, mason_potter_wasps, bumble_bees, long_horned_bees, leafcutter_bees, mining_bees, sweat_bees",9
Dalea purpurea,Purplerairie Clover,"P, N","syrphid_flies, soldier_beetles, thynid_wasps, mason_potter_wasps, bumble_bees, long_horned_bees, leafcutter_bees, mining_bees, sweat_bees",9
Doellingeria umbellata,Flat-topped Aster,"P, N","syrphid_flies, soldier_beetles, thynid_wasps, mason_potter_wasps, yellowjackets, paper_wasps, bumble_bees, long_horned_bees, leafcutter_bees, mining_bees, sweat_bees",11
Erigeron strigosus,Daisy Fleabane,"P, N","lacewings, syrphid_flies, tachinid_flies, soldier_beetles, mason_potter_wasps, paper_wasps, leafcutter_bees, mining_bees, sweat_bees",9
Eryngium yuccifolium,Rattlesnake Master,"P, N","syrphid_flies, tachinid_flies, soldier_beetles, thynid_wasps, mason_potter_wasps, yellowjackets, paper_wasps, bumble_bees, long_horned_bees, leafcutter_bees, sweat_bees",11
Eupatorium perfoliatum,Common Boneset,"P, N","syrphid_flies, tachinid_flies, soldier_beetles, thynid_wasps, mason_potter_wasps, yellowjackets, paper_wasps, bumble_bees, long_horned_bees, leafcutter_bees, mining_bees, sweat_bees",12
Euphorbia corollata,Flowering Spurge,"P, N","syrphid_flies, tachinid_flies, soldier_beetles, thynid_wasps, mason_potter_wasps, paper_wasps, leafcutter_bees, sweat_bees",8
Euthamia graminifolia,Grass-leaved Goldenrod,"P, N","syrphid_flies, tachinid_flies, soldier_beetles, thynid_wasps, yellowjackets, paper_wasps, bumble_bees, long_horned_bees, mining_bees, sweat_bees",10
Helenium autumnale,Sneezeweed,"P, N","syrphid_flies, tachinid_flies, soldier_beetles, yellowjackets, paper_wasps, bumble_bees, long_horned_bees, leafcutter_bees, mining_bees, sweat_bees",10
Heliopsis helianthoides,False Sunflower or Smooth Oxeye,"P, N","syrphid_flies, tachinid_flies, soldier_beetles, thynid_wasps, bumble_bees, long_horned_bees, leafcutter_bees, mining_bees, sweat_bees",9
Monarda fistulosa,Wild Bergamot,"P, N","syrphid_flies, soldier_beetles, mason_potter_wasps, paper_wasps, bumble_bees, long_horned_bees, leafcutter_bees, sweat_bees",8
