scientific_name,common_name,region,source,flower_color,height,bloom,sun,soil,pollinators
Acer circinatum,Vine maple Apr–MAy p b c ɝ ɞ D–M F,Maritime Northwest,Xerces Society,,,,,,
Acer macrophyllum,Bigleaf maple Apr–MAy p c ɝ ɞ D–M F O,Maritime Northwest,Xerces Society,,,,,,
Achillea millefolium,Common yarrow May–Jul P a ɝ ɞ D–M F Ö Ì Ø P Ë,Maritime Northwest,Xerces Society,,,,,,
Amelanchier alnifolia,Saskatoon serviceberry Jun–Jul p b ɝ ɞ D–M F Ì P Ë,Maritime Northwest,Xerces Society,,,,,,
Asclepias,speciosaƫ Showy milkweed May–SeP P a ɝ D–M F Ì Ø P Ë,Maritime Northwest,Xerces Society,,,,,,
Berberis aquifolium,Oregon grape MAr–MAy p b ɞ ɟ D Ë,Maritime Northwest,Xerces Society,,,,,,
Brodiaea coronaria,Crown brodiaea Jul–Sep p a ɝ D–M,Maritime Northwest,Xerces Society,,,,,,
Camassia leichtlinii,Large camas MAr–MAy p a ɝ ɞ M Ö,Maritime Northwest,Xerces Society,,,,,,
Camassia,quamashƫ Small camas aPr–Jun P a ɝ M–W Ø Ë,Maritime Northwest,Xerces Society,,,,,,
Ceanothus integerrimus,Deerbrush MAy–Jul p b ɝ ɞ D F Ö Ì Ø,Maritime Northwest,Xerces Society,,,,,,
Chamerion,a. ssp. angustifoliumƫ Fireweed Jul–SeP P a ɝ D–M F Ì Ø Ë,Maritime Northwest,Xerces Society,,,,,,
Clarkia amoena,Farewell-to-spring Jun–Jul A a ɝ D–M Ö Ø O,Maritime Northwest,Xerces Society,,,,,,
Native,Plants for Pollinators & Beneficial Insects:,Maritime Northwest,Xerces Society,,,,,,
Maritime,Northwest,Maritime Northwest,Xerces Society,,,,,,
Bombus,melanopygus) visiting Ribes sanguineum blossoms. RIGHT—Red a,Maritime Northwest,Xerces Society,,,,,,
Annual,SoiL: Dry ƫ Staff form: a Forb ɠ Sedge ɡ VineSun: ɝ Full sun,Maritime Northwest,Xerces Society,,,,,,
Biennial,Moist favorite T Cactus b Shrub ɞ Partial sun detAiLS: Ö Sup,Maritime Northwest,Xerces Society,,,,,,
Perennial,Wet Z Grass c Tree ɟ Full shade Ì Attracts beneficial insect,Maritime Northwest,Xerces Society,,,,,,
Native,Plants for Pollinators & Beneficial Insects: Maritime Northw,Maritime Northwest,Xerces Society,,,,,,
Collomia grandiflora,Grand collomia Jun–Jul A a ɝ D–M Ø,Maritime Northwest,Xerces Society,,,,,,
Dichelostemma congestum,Ookow Jun–Jul p a ɝ ɞ D–M,Maritime Northwest,Xerces Society,,,,,,
Erigeron speciosus,Aspen fleabane Jul–Sep p a ɝ D–M F Ö Ì Ø Ë,Maritime Northwest,Xerces Society,,,,,,
Eriophyllum lanatum,Common woolly sunflower MAy–Aug A / p a ɝ D F Ö Ì Ø Ë,Maritime Northwest,Xerces Society,,,,,,
Gaultheria shallon,Salal Apr–Jul p b ɝ ɞ ɟ D–M F Ø,Maritime Northwest,Xerces Society,,,,,,
Gilia capitata,Bluehead gilia Apr–Jun A / p a ɝ D Ì Ø,Maritime Northwest,Xerces Society,,,,,,
Grindelia,integrifoliaƫ Puget Sound gumweed Jul–SeP P b a ɝ M Ö Ë,Maritime Northwest,Xerces Society,,,,,,
Heracleum sphondylium,ssp. montanumƫ Common cowparsnip Jun–Jul P a ɝ ɞ M–W F Ì Ø Ë,Maritime Northwest,Xerces Society,,,,,,
Holodiscus,discolorƫ Oceanspray Jul–SeP P b ɝ ɞ D–M F Ì Ø,Maritime Northwest,Xerces Society,,,,,,
