symbol,synonym_symbol,scientific_name_full,common_name,family,is_synonym,state
ABAL,,Abronia alpina Brandegee,Ramshaw Meadows abronia,Nyctaginaceae,False,CA
ABAM,,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir,Pinaceae,False,CA
ABBR,,Abies bracteata (D. Don) D. Don ex Poit.,bristlecone fir,Pinaceae,False,CA
ABBR,ABVE,Abies venusta (Douglas) K. Koch,,Pinaceae,True,CA
ABGR,,Abies grandis (Douglas ex D. Don) Lindl.,grand fir,Pinaceae,False,CA
ABGR,ABGRI2,Abies grandis (Douglas ex D. Don) Lindl. ssp. idahoensis (Silba) Silba,,Pinaceae,True,CA
ABGR,ABGRG,Abies grandis (Douglas ex D. Don) Lindl. var. grandis,,Pinaceae,True,CA
ABGR,ABGRI,Abies grandis (Douglas ex D. Don) Lindl. var. idahoensis Silba,,Pinaceae,True,CA
ABGR,ABGRJ,Abies grandis (Douglas ex D. Don) Lindl. f. johnsonii O.V. Matthews,,Pinaceae,True,CA
ABGR2,,Abronia gracilis Benth.,slender sand verbena,Nyctaginaceae,False,CA
ABIES,,Abies Mill.,fir,Pinaceae,False,CA
ABIN2,,Abronia insularis Standl.,island sand verbena,Nyctaginaceae,False,CA
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,Pinaceae,False,CA
ABLA2,,Abronia latifolia Eschsch.,coastal sand verbena,Nyctaginaceae,False,CA
ABLAL,,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae,False,CA
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,,Pinaceae,True,CA
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,,Pinaceae,True,CA
ABLAL,ABBI3,Abies bifolia A. Murray bis,,Pinaceae,True,CA
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,,Pinaceae,True,CA
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.,,Pinaceae,True,CA
ABLAL,ABSU,Abies subalpina Engelmann,,Pinaceae,True,CA
ABLO,,Abies lowiana (Gordon & Glend.) A. Murray bis,Sierra white fir,Pinaceae,False,CA
ABLO,ABCOL,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. lowiana (Gord. & Glend.) Lemmon,,Pinaceae,True,CA
ABMA,,Abies magnifica A. Murray bis,California red fir,Pinaceae,False,CA
ABMA2,,Abronia maritima Nutt. ex S. Watson,red sand verbena,Nyctaginaceae,False,CA
ABMAM,,Abies magnifica A. Murray bis var. magnifica,California red fir,Pinaceae,False,CA
ABMAS,,Abies magnifica A. Murray bis var. shastensis Lemmon,Shasta red fir,Pinaceae,False,CA
ABMAS,ABMAS2,Abies magnifica A. Murray bis ssp. shastensis (Lemmon) Silba,,Pinaceae,True,CA
ABMAS,ABMAC,Abies magnifica A. Murray bis var. critchfieldii Lanner,,Pinaceae,True,CA
ABMAS,ABSH,Abies ×shastensis (Lemmon) Lemmon,,Pinaceae,True,CA
ABMI2,,Abronia minor Standl.,little sand verbena,Nyctaginaceae,False,CA
ABNA,,Abronia nana S. Watson,dwarf sand verbena,Nyctaginaceae,False,CA
ABNAC,,Abronia nana S. Watson var. covillei (Heimerl) Munz,Coville's dwarf sand verbena,Nyctaginaceae,False,CA
ABNAC,ABNAC2,Abronia nana S. Watson ssp. covillei (Heimerl) Munz,,Nyctaginaceae,True,CA
ABNAN,,Abronia nana S. Watson var. nana,dwarf sand verbena,Nyctaginaceae,False,CA
ABNAN,ABNAL,Abronia nana S. Watson var. lanciformis M.E. Jones,,Nyctaginaceae,True,CA
