symbol,synonym_symbol,scientific_name_full,common_name,family,is_synonym,state
ABAM,,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir,Pinaceae,False,OR
ABCO,,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,white fir,Pinaceae,False,OR
ABCO,ABCOC,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. concolor,,Pinaceae,True,OR
ABGR,,Abies grandis (Douglas ex D. Don) Lindl.,grand fir,Pinaceae,False,OR
ABGR,ABGRI2,Abies grandis (Douglas ex D. Don) Lindl. ssp. idahoensis (Silba) Silba,,Pinaceae,True,OR
ABGR,ABGRG,Abies grandis (Douglas ex D. Don) Lindl. var. grandis,,Pinaceae,True,OR
ABGR,ABGRI,Abies grandis (Douglas ex D. Don) Lindl. var. idahoensis Silba,,Pinaceae,True,OR
ABGR,ABGRJ,Abies grandis (Douglas ex D. Don) Lindl. f. johnsonii O.V. Matthews,,Pinaceae,True,OR
ABIES,,Abies Mill.,fir,Pinaceae,False,OR
ABLA,,Abies lasiocarpa (Hook.) Nutt.,subalpine fir,Pinaceae,False,OR
ABLA2,,Abronia latifolia Eschsch.,coastal sand verbena,Nyctaginaceae,False,OR
ABLAL,,Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa,subalpine fir,Pinaceae,False,OR
ABLAL,ABBAL,Abies balsamea (L.) Mill. ssp. lasiocarpa (Hook.) B. Boivin,,Pinaceae,True,OR
ABLAL,ABBAF,Abies balsamea (L.) Mill. var. fallax (Engelm.) B. Boivin,,Pinaceae,True,OR
ABLAL,ABBI3,Abies bifolia A. Murray bis,,Pinaceae,True,OR
ABLAL,ABLAB,Abies lasiocarpa (Hook.) Nutt. ssp. bifolia (A. Murray bis) Silba,,Pinaceae,True,OR
ABLAL,ABLAB2,Abies lasiocarpa (Hook.) Nutt. var. bifolia (A. Murray bis) Eckenw.,,Pinaceae,True,OR
ABLAL,ABSU,Abies subalpina Engelmann,,Pinaceae,True,OR
ABLO,,Abies lowiana (Gordon & Glend.) A. Murray bis,Sierra white fir,Pinaceae,False,OR
ABLO,ABCOL,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr. var. lowiana (Gord. & Glend.) Lemmon,,Pinaceae,True,OR
ABMA,,Abies magnifica A. Murray bis,California red fir,Pinaceae,False,OR
ABMAM,,Abies magnifica A. Murray bis var. magnifica,California red fir,Pinaceae,False,OR
ABMAS,,Abies magnifica A. Murray bis var. shastensis Lemmon,Shasta red fir,Pinaceae,False,OR
ABMAS,ABMAS2,Abies magnifica A. Murray bis ssp. shastensis (Lemmon) Silba,,Pinaceae,True,OR
