scientific_name,common_name
Acer glabrum,Rocky Mountain Maple
Acer grandidentatum,Bigtooth Maple
Agastache cana,Bubblegum Mint
Amelanchier alnifolia,Serviceberry
Amelanchier pumila,Dwarf Serviceberry
Amelanchier utahensis,Utah Serviceberry
Anaphalis margaritacea,Pearly Everlasting
Antennaria microphylla,Littleleaf Pussytoes
Aquilegia barnebyi,Oil Shale Columbine
Aquilegia chrysantha,Golden Columbine
Aquilegia desertorum,Desert Columbine
Aquilegia formosa,Western Red Columbine
Aquilegia scopulorum,Rock Columbine
Arctostaphylos patula,Greenleaf Manzanita
Arctostaphylos uva-ursi,Bearberry
Artemisia cana,Silver Sagebrush
Artemisia frigida,Fringed Sagebrush
Artemisia michauxiana,Michaux's Sage
Artemisia tridentata vaseyana,Mountain Big Sagebrush
Asclepias incarnata,Swamp Milkweed
Berberis repens,Creeping Oregon Grape
Betula occidentalis,Water Birch
Calylophus serrulatus,Yellow Sundrops
Castilleja integra,Wholeleaf Paintbrush
Ceanothus prostratus,Prostrate Ceanothus
Ceanothus velutinus,Snowbrush Ceanothus
Cercocarpus ledifolius var. intricatus,Littleleaf Mountain Mahogany
Chamaebatiaria millefolium,Fernbush
Clematis columbiana,Rock Clematis
Cornus sericea,Redtwig Dogwood
Dalea ornata,Western Prairie Clover
Dasiphora fruticosa,Shrubby Cinquefoil
Douglasia nivalis,Snow Dwarf Primrose
Ericameria nauseosa,Gray Rabbitbrush
Erigeron compositus,Cut-leaf Daisy
Erigeron speciosus,Showy Fleabane
Eriogonum arcuatum,Ivy League Buckwheat
Eriogonum compositum,Arrow-leaf Buckwheat
Eriogonum corymbosum,Lacy Buckwheat
Eriogonum douglasii,Douglas Buckwheat
Eriogonum heracleoides,Whorled Buckwheat
Eriogonum jamesii,James' Buckwheat
Eriogonum ovalifolium,Oval-leaf Buckwheat
Eriogonum strictum,Strict Buckwheat
Eriogonum umbellatum,Sulfur Buckwheat
Eriophyllum lanatum,Woolly Sunflower
Gaillardia aristata,Blanketflower
Geum rivale,Purple Avens
Geum triflorum,Prairie Smoke
Gilia capitata,Globe Gilia
Heuchera cylindrica,Roundleaf Alumroot
Hymenoxys acaulis,Angelita Daisy
Iliamna rivularis,Mountain Hollyhock
Koeleria macrantha,June Grass
Krascheninnikovia lanata,Winterfat
Linum lewisii,Lewis Flax
Lomatium columbianum,Columbia Desert Parsley
Machaeranthera coloradoensis,Colorado Tansyaster
Mirabilis multiflora,Desert Four O'Clock
Monarda fistulosa var. menthaefolia,Bee Balm
Oenothera caespitosa,Tufted Evening Primrose
Penstemon barbatus,Beardlip Penstemon
Penstemon cardinalis,Cardinal Penstemon
Penstemon confertus,Yellow Penstemon
Penstemon cyaneus,Blue Penstemon
Penstemon davidsonii,Davidson's Penstemon
Penstemon deustus,Hot Rock Penstemon
Penstemon fruticosus,Shrubby Penstemon
Penstemon hallii,Hall's Penstemon
Penstemon montanus,Mountain Penstemon
Penstemon perpulcher,Minidoka Penstemon
Penstemon pinifolius,Pineleaf Penstemon
Penstemon rostriflorus,Bridges' Penstemon
Penstemon strictus,Rocky Mountain Penstemon
Penstemon venustus,Lovely Penstemon
Penstemon whippleanus,Whipple's Penstemon
Philadelphus lewisii,Western Syringa
Physaria eburniflora,Devil's Gate Twinpod
Physocarpus monogynus,Mountain Ninebark
Physocarpus opulifolius,Common Ninebark
Potentilla thurberi,Scarlet Cinquefoil
Purshia mexicana,Mexican Cliffrose
Rhamnus purshiana,Cascara Buckthorn
Rhus glabra,Smooth Sumac
Rhus trilobata,Skunkbush Sumac
Ribes aureum,Golden Currant
Salvia pachyphylla,Giant Purple Sage
Sisyrinchium idahoense,Idaho Blue-Eyed Grass
Sphaeralcea grossulariifolia,Gooseberry Globemallow
Sporobolus airoides,Alkali Sacaton
Sporobolus wrightii,Giant Sacaton
Wyethia scabra,Scabland Mule's Ear
Zauschneria garrettii,Firechalice
Zinnia grandiflora,Desert Zinnia
