scientific_name,common_name,plant_type,region_1_water_use,region_1_et0,region_1_plant_factor,region_2_water_use,region_2_et0,region_2_plant_factor,region_3_water_use,region_3_et0,region_3_plant_factor,region_4_water_use,region_4_et0,region_4_plant_factor,region_5_water_use,region_5_et0,region_5_plant_factor,region_6_water_use,region_6_et0,region_6_plant_factor
Abelia chinensis (Linnaea chinensis),Chinese abelia,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Abelia floribunda,Mexican abelia,Shrub,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Abelia mosanensis 'Fragrant Abelia',fragrant abelia,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abelia parvifolia (A. longituba),Schuman abelia,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abelia x grandiflora 'Abelops',Sunshine daydream abelia,Shrub,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abelia x grandiflora 'Wevol1',Bella Donna abelia,Shrub,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abelia x grandiflora ssp. & cvs.,glossy abelia,"Ground Cover, Shrub",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A
Abelia × grandiflora 'Bailbeliaone' Vanilla Brandy™,Vanilla Brandy Abelia,Shrub,Unknown,N/A%,N/A,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abeliophyllum distichum,forsythia,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abelmoschus manihot (Hibiscus manihot),sunset muskmallow,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abies pinsapo,Spanish fir,Tree,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Abies spp. (CA native and non-native),fir,"Tree, California Native",Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Abronia latifolia,yellow sand verbena,"Perennial, California Native",Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abronia maritima,sand verbena,"Perennial, California Native",Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Very Low,< 10%,< 0.10,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Abronia umbellata,Pink Sand Verbena,"Perennial, California Native",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Unknown,N/A%,N/A
Abutilon palmeri,Indian mallow,"Shrub, California Native",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60
Abutilon pictum thompsonii,variegated Chinese lantern,Shrub,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A
Abutilon vitifolium,flowering maple,Shrub,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A
Abutilon x hybridum ssp. & cvs.,flowering maple,Shrub,Moderate,40-60%,0.40-0.60,High,70-90%,0.70-0.90,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia  salicina,Willow Acacia,Tree,Low,10-30%,0.10-0.30,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Acacia abyssinica,Abyssinian acacia,"Shrub, Tree",Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30
Acacia aneura,mulga,Shrub,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30
Acacia angustissima,white ball acacia,Shrub,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acacia baileyana,Bailey acacia,Tree,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia berlandieri (Senegalia berlandieri),guajillo,"Shrub, Tree",Unknown,N/A%,N/A,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30
Acacia boormanii,Snowy River wattle,"Shrub, Arboretum All-Star",Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Low,10-30%,0.10-0.30
Acacia cognata 'ACCOG01' Cousin Itt™ PP25133,River Wattle,Shrub,Moderate,40-60%,0.40-0.60,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia cognata (Acacia subporosa),bower wattle,Tree,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Moderate,40-60%,0.40-0.60,Moderate,40-60%,0.40-0.60,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia constricta,whitethorn acacia,"Shrub, Tree",Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Acacia covenyi,blue bush,Shrub,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Unknown,N/A%,N/A
Acacia craspedocarpa,leatherleaf acacia,"Shrub, Tree",Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Unknown,N/A%,N/A,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30
Acacia cultriformis,knife acacia,Shrub,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia dealbata,silver wattle,Tree,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
Acacia decurrens,green wattle,Tree,Very Low,< 10%,< 0.10,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Low,10-30%,0.10-0.30,Not Appropriate for this Region,N/A%,N/A,Not Appropriate for this Region,N/A%,N/A
